Testing SD card write operations: 2022-07-07 19:09:15
2022-07-07 19:09:42: {'Acceleration': '(0.08007813, -0.06762695, 1.002197)', 'Roll': '-4.568374', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.840801'}
2022-07-07 19:09:43: {'Acceleration': '(0.07983398, -0.06506348, 1.003052)', 'Roll': '-4.55064', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.68809'}
2022-07-07 19:09:43: {'Acceleration': '(0.08190918, -0.06835938, 0.9921875)', 'Roll': '-4.719301', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.714969'}
2022-07-07 19:09:44: {'Acceleration': '(0.08361816, -0.0670166, 1.005371)', 'Roll': '-4.754429', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.800529'}
2022-07-07 19:09:45: {'Acceleration': '(0.08105469, -0.0657959, 1.014893)', 'Roll': '-4.553889', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.779686'}
2022-07-07 19:09:46: {'Acceleration': '(0.08093262, -0.06665039, 0.9985352)', 'Roll': '-4.63377', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.806278'}
2022-07-07 19:09:47: {'Acceleration': '(0.08166504, -0.06799316, 1.002808)', 'Roll': '-4.655688', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.757122'}
2022-07-07 19:09:48: {'Acceleration': '(0.08105469, -0.06945801, 1.001587)', 'Roll': '-4.62665', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.954108'}
2022-07-07 19:09:49: {'Acceleration': '(0.08117676, -0.06652832, 0.9984131)', 'Roll': '-4.552163', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.960391'}
2022-07-07 19:09:49: {'Acceleration': '(0.07824707, -0.06774902, 1.001953)', 'Roll': '-4.465424', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.856571'}
2022-07-07 19:09:50: {'Acceleration': '(0.0793457, -0.06713867, 1.00415)', 'Roll': '-4.517996', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.813318'}
2022-07-07 19:09:51: {'Acceleration': '(0.07971191, -0.06774902, 1.001709)', 'Roll': '-4.549777', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.828863'}
2022-07-07 19:09:52: {'Acceleration': '(0.07946777, -0.06567383, 0.998291)', 'Roll': '-4.637918', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.904885'}
2022-07-07 19:09:53: {'Acceleration': '(0.07873535, -0.06591797, 1.00293)', 'Roll': '-4.48013', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.803908'}
2022-07-07 19:09:54: {'Acceleration': '(0.08093262, -0.06713867, 0.9989014)', 'Roll': '-4.632079', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.832688'}
2022-07-07 19:09:55: {'Acceleration': '(0.07861328, -0.0682373, 1.004395)', 'Roll': '-4.475378', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.728824'}
2022-07-07 19:09:56: {'Acceleration': '(0.08093262, -0.06726074, 1.005127)', 'Roll': '-4.603513', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.816078'}
2022-07-07 19:09:56: {'Acceleration': '(0.07861328, -0.06665039, 1.001343)', 'Roll': '-4.349508', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.691862'}
2022-07-07 19:09:57: {'Acceleration': '(0.07775879, -0.06713867, 1.002075)', 'Roll': '-4.416234', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.790017'}
2022-07-07 19:09:58: {'Acceleration': '(0.08227539, -0.06640625, 0.9996338)', 'Roll': '-4.705153', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.787837'}
2022-07-07 19:09:59: {'Acceleration': '(0.07751465, -0.06799316, 1.002686)', 'Roll': '-4.420575', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.763531'}
2022-07-07 19:10:00: {'Acceleration': '(0.0760498, -0.06860352, 0.9989014)', 'Roll': '-4.353726', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.917543'}
2022-07-07 19:10:01: {'Acceleration': '(0.07885742, -0.0670166, 1.001953)', 'Roll': '-4.493079', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.881268'}
2022-07-07 19:10:02: {'Acceleration': '(0.078125, -0.06445313, 1.002808)', 'Roll': '-4.454702', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.666415'}
2022-07-07 19:10:02: {'Acceleration': '(0.07922363, -0.06652832, 1.001221)', 'Roll': '-4.524219', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.789745'}
2022-07-07 19:10:03: {'Acceleration': '(0.07910156, -0.06713867, 1.012573)', 'Roll': '-4.466837', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.781955'}
2022-07-07 19:10:04: {'Acceleration': '(0.08056641, -0.06359863, 1.00769)', 'Roll': '-4.571162', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.599877'}
2022-07-07 19:10:05: {'Acceleration': '(0.07727051, -0.06506348, 1.001587)', 'Roll': '-4.411521', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.705753'}
2022-07-07 19:10:06: {'Acceleration': '(0.08117676, -0.06799316, 0.9945068)', 'Roll': '-4.408861', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.75795'}
2022-07-07 19:10:07: {'Acceleration': '(0.07836914, -0.06860352, 1.003418)', 'Roll': '-4.465859', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.899378'}
2022-07-07 19:10:08: {'Acceleration': '(0.07861328, -0.06787109, 1.000122)', 'Roll': '-4.494418', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.870398'}
2022-07-07 19:10:09: {'Acceleration': '(0.07958984, -0.06567383, 1.001221)', 'Roll': '-4.545044', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.763135'}
2022-07-07 19:10:09: {'Acceleration': '(0.07666016, -0.06738281, 1.000366)', 'Roll': '-4.382131', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.842285'}
2022-07-07 19:10:10: {'Acceleration': '(0.07714844, -0.06530762, 0.998291)', 'Roll': '-4.490889', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.94894'}
2022-07-07 19:10:11: {'Acceleration': '(0.07861328, -0.06848145, 1.005371)', 'Roll': '-4.471048', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.884895'}
2022-07-07 19:10:12: {'Acceleration': '(0.07421875, -0.06591797, 1.008057)', 'Roll': '-4.210836', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.731239'}
2022-07-07 19:10:13: {'Acceleration': '(0.07727051, -0.0657959, 1.004395)', 'Roll': '-4.399238', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.838906'}
2022-07-07 19:10:14: {'Acceleration': '(0.08325195, -0.06640625, 1.007446)', 'Roll': '-4.723996', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.758446'}
2022-07-07 19:10:15: {'Acceleration': '(0.07836914, -0.0703125, 1.003052)', 'Roll': '-4.217901', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.694372'}
2022-07-07 19:10:16: {'Acceleration': '(0.07739258, -0.06665039, 1.002808)', 'Roll': '-4.413105', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.791261'}
2022-07-07 19:10:16: {'Acceleration': '(0.07714844, -0.06396484, 1.007324)', 'Roll': '-4.251214', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.750808'}
2022-07-07 19:10:17: {'Acceleration': '(0.07592773, -0.06420898, 1.003662)', 'Roll': '-4.352504', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.906039'}
2022-07-07 19:10:18: {'Acceleration': '(0.07556152, -0.06677246, 1.004639)', 'Roll': '-4.301268', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.800084'}
2022-07-07 19:10:19: {'Acceleration': '(0.07849121, -0.06921387, 0.9991455)', 'Roll': '-4.474957', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.769717'}
2022-07-07 19:10:20: {'Acceleration': '(0.0760498, -0.06799316, 1.008179)', 'Roll': '-4.312367', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.629394'}
2022-07-07 19:10:21: {'Acceleration': '(0.07702637, -0.06555176, 1.004639)', 'Roll': '-4.384331', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '3.674979'}
2022-07-07 19:10:22: {'Acceleration': '(0.07666016, -0.06774902, 1.000366)', 'Roll': '-4.382131', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.863104'}
2022-07-07 19:10:22: {'Acceleration': '(0.07775879, -0.06494141, 1.000977)', 'Roll': '-4.393362', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.902307'}
2022-07-07 19:10:23: {'Acceleration': '(0.07800293, -0.06518555, 1.00415)', 'Roll': '-4.441846', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.764973'}
2022-07-07 19:10:24: {'Acceleration': '(0.08166504, -0.0657959, 0.9976807)', 'Roll': '-4.679507', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.760586'}
2022-07-07 19:10:25: {'Acceleration': '(0.0760498, -0.06494141, 0.9979248)', 'Roll': '-4.392809', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.712448'}
2022-07-07 19:10:26: {'Acceleration': '(0.07739258, -0.06555176, 1.003418)', 'Roll': '-4.410431', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.744695'}
2022-07-07 19:10:27: {'Acceleration': '(0.07641602, -0.06604004, 0.9980469)', 'Roll': '-4.378341', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.774685'}
2022-07-07 19:10:28: {'Acceleration': '(0.07617188, -0.06555176, 1.007446)', 'Roll': '-4.323842', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.712264'}
2022-07-07 19:10:29: {'Acceleration': '(0.07971191, -0.06555176, 1.003052)', 'Roll': '-4.543711', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '3.697805'}
2022-07-07 19:10:29: {'Acceleration': '(0.07531738, -0.06542969, 1.001343)', 'Roll': '-4.301481', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.823328'}
2022-07-07 19:10:30: {'Acceleration': '(0.0769043, -0.0645752, 1.005249)', 'Roll': '-4.374762', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.664837'}
