Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:07:47: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 17:07:50: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 17:07:50: {'ssid':'B310', 'bssid':'e5f23601a5236faf3c170e9a73e383c9fda5dedc48c17135dc3488dbf30a7228', 'sec':4, 'channel':1, 'rssi':-90}
2022-06-25 17:07:54: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:07:54: {'ssid':'B311', 'bssid':'3e0e6a8c9fdcc085592c07c100061a7128e08985b64a71d071aaedbf8eb831ba', 'sec':4, 'channel':6, 'rssi':-83}
2022-06-25 17:07:54: {'ssid':'B312', 'bssid':'258c2de0a6705b85bc1b06c098f62ebbfbf6bcb1f795ef06c888d28e9992f1dd', 'sec':4, 'channel':1, 'rssi':-96}
2022-06-25 17:07:56: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:07:58: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:08:00: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:08:02: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 17:08:03: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:08:03: {'ssid':'B313', 'bssid':'b976ec9b2a757a7c54c2198b33309147701bd0c251e7e37d71daf8b668d804c8', 'sec':4, 'channel':1, 'rssi':-86}
2022-06-25 17:08:05: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 17:08:07: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 17:08:09: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:08:11: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
