Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:07:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a390e9d1282101931116a85457659c14ae83e71cd734e33bf3e1a49a2b896d6d', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -47, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '633fa58bb99088d1b89af68a2eda2c2d56adbde460fba56cd16e7c00db319857', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
