Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:23:19: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-07 09:23:19: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-80}
2022-07-07 09:23:21: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-07 09:23:21: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-07 09:23:22: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-74}
2022-07-07 09:23:22: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-07 09:23:24: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-75}
2022-07-07 09:23:24: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-07 09:23:26: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-73}
2022-07-07 09:23:28: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-07 09:23:28: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-78}
