Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:13:54: {'ssid':'B617', 'bssid':'f2cc4f432451a5fe50e04b542ecaed1db4345a5055fc511827225d90', 'sec':3, 'channel':11, 'rssi':-95}
2022-07-07 09:13:56: {'ssid':'B613', 'bssid':'5c07a810523b96d7bc979c35a52ca8faa998be2f9c98634228513de1', 'sec':3, 'channel':11, 'rssi':-89}
2022-07-07 09:13:56: {'ssid':'B69', 'bssid':'f7d00ea5eeb27544a2afe3da2acb4b176637c8a388566f6d385bba51', 'sec':4, 'channel':6, 'rssi':-91}
2022-07-07 09:13:56: {'ssid':'B610', 'bssid':'1c696e65466f803de756ea83815be5613c1640688239affd876dcfe7', 'sec':5, 'channel':6, 'rssi':-92}
2022-07-07 09:13:56: {'ssid':'B618', 'bssid':'dec49a205d727b8d9b3ff079a34b6965ec7358a32e121d73663c4b99', 'sec':0, 'channel':6, 'rssi':-93}
2022-07-07 09:13:56: {'ssid':'B66', 'bssid':'fcfadc9a4ce171faa0f5cb85952b44706b5bac16e81248b413964878', 'sec':5, 'channel':11, 'rssi':-95}
2022-07-07 09:13:58: {'ssid':'B65', 'bssid':'31fb07e021ffa8ab0bc502a0f2e70e15d43fb5518c48c37d070dfa80', 'sec':4, 'channel':1, 'rssi':-84}
2022-07-07 09:13:58: {'ssid':'B69', 'bssid':'f7d00ea5eeb27544a2afe3da2acb4b176637c8a388566f6d385bba51', 'sec':4, 'channel':6, 'rssi':-92}
2022-07-07 09:13:58: {'ssid':'B618', 'bssid':'dec49a205d727b8d9b3ff079a34b6965ec7358a32e121d73663c4b99', 'sec':0, 'channel':6, 'rssi':-93}
2022-07-07 09:13:58: {'ssid':'B610', 'bssid':'1c696e65466f803de756ea83815be5613c1640688239affd876dcfe7', 'sec':5, 'channel':6, 'rssi':-93}
2022-07-07 09:14:02: {'ssid':'B66', 'bssid':'d33c0798cdcaea5305e3e6b3f168680dd4a5dbde564317a91ac825ed', 'sec':5, 'channel':11, 'rssi':-87}
2022-07-07 09:14:02: {'ssid':'B66', 'bssid':'721b3e2ed4f5c9b3ca276d71ab89ac51067233efd51cd5b8e40b34ce', 'sec':5, 'channel':11, 'rssi':-95}
2022-07-07 09:14:04: {'ssid':'B68', 'bssid':'7042d2c197e412f9213b4d23ef2050ca1708fc80fb12d51ce1fc0915', 'sec':4, 'channel':3, 'rssi':-92}
2022-07-07 09:14:04: {'ssid':'B619', 'bssid':'7bae0cde4721813559a0d916b0cb9073f9198af40360dd6c598dbf47', 'sec':4, 'channel':11, 'rssi':-93}
2022-07-07 09:14:06: {'ssid':'B620', 'bssid':'7f3f99fc675542a98a472ddb7cfb39c3282fa7a0164193259beda075', 'sec':4, 'channel':1, 'rssi':-88}
