Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:13:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'faccfcbf12e53d216d4a8af7d77f266ec1cd27cd1717b4a86fe5178d48afcf64', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a45a0e1fefc4c4476bc02c33ac234d3903f1f0abe91f3b5c3cdf34d26857b517', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b8355587f2647c021c639b5e7f104a24434d7f5956846418771b24e6495c4f09', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88627ea932f29f270b58456c7a8c5df33471d1a8b1a8347cf7d5d7724e2cd8c3', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:42: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -76, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '413d01faf7f5f979658418234d36c1143f15bde7cbb13673266ad38ed589e2dc', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:13:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7d48532459cc35bb4902cbd6245e4679ed19931df1941e5278973341ae31c3a2', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '413d01faf7f5f979658418234d36c1143f15bde7cbb13673266ad38ed589e2dc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:13:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cdb4b58a9124191b3ba4cc51a14dbf0d35125c398effee412b4e305fb1fea4dd', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6373835991c4fbaa2253f1daed345f81e5b2dfb2f63dd191fbc5dea931ffc13b', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
