Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 07:57:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e560aee36e6e83e349ecfbdbc5380946301c3843aaf0e011d8515fe1b2e3bd23', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b277251e84a55c368658e3eaaf5a376dafd22b227b33fb93bfd4bb1ecc0d7d23', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '61546dcfa7c26a9889dfd83aaaccc856ed1df3f178a36689c974f5b254dad9ba', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '807aa799fba4889eb349f98ec96de66268f0d0b81a5a03a08385fd729bf4552a', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9b72c35ed04867aaa65bcbfcda725e2ba4a9d1f7043676ae17533977a366a42b', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '61546dcfa7c26a9889dfd83aaaccc856ed1df3f178a36689c974f5b254dad9ba', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7197493d77b206bd3e01e87d3c3d349c1bb032852594090391e4441ee0cb3d6a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '807aa799fba4889eb349f98ec96de66268f0d0b81a5a03a08385fd729bf4552a', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7197493d77b206bd3e01e87d3c3d349c1bb032852594090391e4441ee0cb3d6a', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9b72c35ed04867aaa65bcbfcda725e2ba4a9d1f7043676ae17533977a366a42b', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
