Testing SD card write operations: 2023-01-26 08:32:31
2023-01-26 08:32:47: {'name': None, 'adv_flag': 26, 'rssi': -56, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:48: {'name': None, 'adv_flag': 26, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': 4, 'def_tx_pwr': 0, 'mac': '008f57315e7c103a64f4a53c1ae5af07e54a6b6a5580b78adbcbeace', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:49: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': 4, 'def_tx_pwr': 0, 'mac': '008f57315e7c103a64f4a53c1ae5af07e54a6b6a5580b78adbcbeace', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:49: {'name': None, 'adv_flag': None, 'rssi': -60, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '9b7fac06ee0617b81bd55465b49eca01b2fd1bbc6c5dc0b684468172', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:50: {'name': None, 'adv_flag': None, 'rssi': -94, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2ad4a82d09b76284563d881b93e764520fcca57f48afd51a81714a2c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:51: {'name': None, 'adv_flag': 26, 'rssi': -55, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:52: {'name': None, 'adv_flag': None, 'rssi': -55, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '9b7fac06ee0617b81bd55465b49eca01b2fd1bbc6c5dc0b684468172', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:52: {'name': None, 'adv_flag': 26, 'rssi': -39, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:53: {'name': None, 'adv_flag': 26, 'rssi': -54, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:54: {'name': None, 'adv_flag': 26, 'rssi': -50, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
