Testing SD card write operations: 1970-01-01 02:00:10
2022-06-27 12:20:47: {'Acceleration': '(-0.3222656, -0.2539063, 0.9321289)', 'Roll': '19.07184', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '14.43685'}
2022-06-27 12:20:48: {'Acceleration': '(-0.1739502, -0.2110596, 0.9282227)', 'Roll': '10.75237', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.82716'}
2022-06-27 12:20:49: {'Acceleration': '(-0.1647949, -0.2260742, 0.9837646)', 'Roll': '10.04111', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.34429'}
2022-06-27 12:20:50: {'Acceleration': '(-0.2408447, -0.2479248, 0.9682617)', 'Roll': '13.96824', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.03404'}
2022-06-27 12:20:50: {'Acceleration': '(-0.2165527, -0.2264404, 0.9630127)', 'Roll': '12.6733', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.92059'}
2022-06-27 12:20:51: {'Acceleration': '(-0.2272949, -0.2208252, 0.9486084)', 'Roll': '13.47454', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.75566'}
2022-06-27 12:20:52: {'Acceleration': '(-0.2148438, -0.2362061, 0.9561768)', 'Roll': '12.74227', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.38654'}
2022-06-27 12:20:53: {'Acceleration': '(-0.2138672, -0.2398682, 0.9724121)', 'Roll': '12.40385', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '12.43328'}
2022-06-27 12:20:54: {'Acceleration': '(-0.2697754, -0.2412109, 0.9342041)', 'Roll': '15.96302', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.31758'}
2022-06-27 12:20:55: {'Acceleration': '(-0.2692871, -0.2498779, 0.9481201)', 'Roll': '15.85572', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.98762'}
2022-06-27 12:20:56: {'Acceleration': '(-0.1838379, -0.2305908, 0.9543457)', 'Roll': '10.90347', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.3472'}
2022-06-27 12:20:56: {'Acceleration': '(-0.144165, -0.2016602, 0.9842529)', 'Roll': '8.332946', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '11.45989'}
2022-06-27 12:20:57: {'Acceleration': '(-0.2478027, -0.2322998, 0.9569092)', 'Roll': '14.57903', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.37125'}
2022-06-27 12:20:58: {'Acceleration': '(-0.2120361, -0.2098389, 0.9608154)', 'Roll': '12.44477', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.4724'}
2022-06-27 12:20:59: {'Acceleration': '(-0.1947021, -0.2297363, 0.9849854)', 'Roll': '11.18152', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.17419'}
2022-06-27 12:21:00: {'Acceleration': '(-0.2340088, -0.2320557, 0.9648438)', 'Roll': '13.63301', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.15584'}
2022-06-27 12:21:01: {'Acceleration': '(-0.2148438, -0.2330322, 0.958374)', 'Roll': '13.41326', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.69495'}
2022-06-27 12:21:02: {'Acceleration': '(-0.2318115, -0.2513428, 0.9586182)', 'Roll': '12.60449', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.35255'}
2022-06-27 12:21:02: {'Acceleration': '(-0.223999, -0.2349854, 0.9737549)', 'Roll': '13.2713', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '12.97443'}
2022-06-27 12:21:03: {'Acceleration': '(-0.227417, -0.2431641, 0.9641113)', 'Roll': '13.85123', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '12.89855'}
2022-06-27 12:21:04: {'Acceleration': '(-0.2214355, -0.1983643, 0.9554443)', 'Roll': '13.0486', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '10.84757'}
2022-06-27 12:21:05: {'Acceleration': '(-0.2443848, -0.2757568, 0.9180908)', 'Roll': '14.90581', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '16.18547'}
2022-06-27 12:21:06: {'Acceleration': '(-0.2269287, -0.2321777, 0.9490967)', 'Roll': '13.44695', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.3832'}
2022-06-27 12:21:07: {'Acceleration': '(-0.2164307, -0.2457275, 0.9621582)', 'Roll': '12.67727', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.99126'}
2022-06-27 12:21:08: {'Acceleration': '(-0.2301025, -0.2506104, 0.980835)', 'Roll': '13.23189', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '13.15822'}
2022-06-27 12:21:08: {'Acceleration': '(-0.2329102, -0.2148438, 0.9737549)', 'Roll': '11.50017', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.34531'}
2022-06-27 12:21:09: {'Acceleration': '(-0.2623291, -0.2089844, 0.9920654)', 'Roll': '14.76812', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '9.118516'}
2022-06-27 12:21:10: {'Acceleration': '(-0.2086182, -0.2635498, 0.9439697)', 'Roll': '12.46211', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '10.07238'}
2022-06-27 12:21:11: {'Acceleration': '(-0.2403564, -0.2056885, 0.942749)', 'Roll': '14.30301', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '11.93749'}
2022-06-27 12:21:12: {'Acceleration': '(-0.2397461, -0.2199707, 0.9698486)', 'Roll': '14.12953', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.54456'}
2022-06-27 12:21:13: {'Acceleration': '(-0.2584229, -0.2078857, 0.953125)', 'Roll': '15.17002', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '13.51988'}
2022-06-27 12:21:14: {'Acceleration': '(-0.2813721, -0.2232666, 0.9558105)', 'Roll': '16.04541', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.598'}
2022-06-27 12:21:15: {'Acceleration': '(-0.2263184, -0.2072754, 0.9609375)', 'Roll': '13.25269', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '11.85741'}
2022-06-27 12:21:16: {'Acceleration': '(-0.2211914, -0.2144775, 0.9715576)', 'Roll': '12.53795', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.44256'}
2022-06-27 12:21:16: {'Acceleration': '(-0.2189941, -0.2248535, 0.973999)', 'Roll': '13.4172', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '11.44118'}
2022-06-27 12:21:17: {'Acceleration': '(-0.296875, -0.2279053, 0.9333496)', 'Roll': '17.64456', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.10883'}
2022-06-27 12:21:18: {'Acceleration': '(-0.328125, -0.2269287, 0.9683838)', 'Roll': '18.71832', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.51356'}
2022-06-27 12:21:19: {'Acceleration': '(-0.3106689, -0.2653809, 0.9353027)', 'Roll': '18.37436', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.0707'}
2022-06-27 12:21:20: {'Acceleration': '(-0.31604, -0.2365723, 0.9025879)', 'Roll': '19.58567', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.51262'}
2022-06-27 12:21:21: {'Acceleration': '(-0.3204346, -0.2519531, 0.9333496)', 'Roll': '18.9482', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '10.82183'}
2022-06-27 12:21:22: {'Acceleration': '(-0.3122559, -0.289917, 0.9748535)', 'Roll': '17.76081', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '17.24493'}
2022-06-27 12:21:22: {'Acceleration': '(-0.3063965, -0.4178467, 0.9139404)', 'Roll': '18.53361', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '23.43583'}
2022-06-27 12:21:23: {'Acceleration': '(-0.3480225, -0.3479004, 1.117554)', 'Roll': '17.24712', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.04733'}
2022-06-27 12:21:24: {'Acceleration': '(-0.253418, -0.1149902, 0.9931641)', 'Roll': '13.46702', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.408047'}
2022-06-27 12:21:25: {'Acceleration': '(-0.2026367, -0.07019043, 0.9729004)', 'Roll': '11.76542', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '4.598824'}
2022-06-27 12:21:26: {'Acceleration': '(-0.2043457, -0.1599121, 0.9509277)', 'Roll': '12.1279', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.274386'}
2022-06-27 12:21:27: {'Acceleration': '(-0.2081299, -0.0291748, 1.050781)', 'Roll': '11.20365', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '1.560108'}
2022-06-27 12:21:28: {'Acceleration': '(-0.2128906, -0.04382324, 0.9870605)', 'Roll': '12.72137', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '2.492034'}
2022-06-27 12:21:28: {'Acceleration': '(-0.1817627, -0.02111816, 1.019287)', 'Roll': '10.20424', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '0.05453528'}
2022-06-27 12:21:29: {'Acceleration': '(-0.210083, 0.02575684, 1.009399)', 'Roll': '11.75694', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-1.431046'}
2022-06-27 12:21:30: {'Acceleration': '(-0.1904297, 0.001953125, 1.014038)', 'Roll': '10.6359', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-0.1084606'}
2022-06-27 12:21:31: {'Acceleration': '(-0.2049561, -0.01928711, 0.9639893)', 'Roll': '12.00306', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '1.121145'}
2022-06-27 12:21:32: {'Acceleration': '(-0.1689453, -0.1834717, 0.9702148)', 'Roll': '10.71676', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '10.1566'}
2022-06-27 12:21:33: {'Acceleration': '(-0.2231445, -0.1555176, 1.027954)', 'Roll': '12.24754', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.484889'}
2022-06-27 12:21:34: {'Acceleration': '(-0.2733154, -0.1514893, 1.03772)', 'Roll': '14.75551', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.931022'}
2022-06-27 12:21:34: {'Acceleration': '(-0.2629395, -0.1193848, 0.9558105)', 'Roll': '15.38135', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.86708'}
2022-06-27 12:21:35: {'Acceleration': '(-0.2504883, -0.2375488, 0.9967041)', 'Roll': '17.57945', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '19.96016'}
2022-06-27 12:21:36: {'Acceleration': '(-0.2840576, -0.1953125, 1.0177)', 'Roll': '16.81648', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '4.449351'}
2022-06-27 12:21:37: {'Acceleration': '(-0.2753906, -0.1848145, 1.021362)', 'Roll': '15.08985', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '10.26515'}
2022-06-27 12:21:38: {'Acceleration': '(-0.3029785, -0.1796875, 1.059326)', 'Roll': '15.96109', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '9.262544'}
2022-06-27 12:21:39: {'Acceleration': '(-0.2607422, -0.4162598, 0.9604492)', 'Roll': '15.18855', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '22.6977'}
2022-06-27 12:21:40: {'Acceleration': '(-0.2598877, -0.333374, 1.055054)', 'Roll': '13.83798', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '17.05639'}
2022-06-27 12:21:40: {'Acceleration': '(-0.2530518, -0.270874, 0.9906006)', 'Roll': '14.78917', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '11.82931'}
2022-06-27 12:21:41: {'Acceleration': '(-0.2102051, -0.2296143, 1.094971)', 'Roll': '10.69148', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.60041'}
2022-06-27 12:21:42: {'Acceleration': '(-0.1064453, -0.2530518, 0.9642334)', 'Roll': '6.299586', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '17.62318'}
