Testing SD card write operations: 2022-06-27 12:20:13
2022-06-27 12:20:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd832232281f68041fa6ea8bb4a50dcfdf30670d0589244163b98f6e4c8278217', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:20:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ee18252c3c6a519fa4399972c2f0394ea70a8465d74b717d557efd9fa82ed8c8', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-27 12:20:35: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9639a26edd96761102e5647e39bfd29895c16b0b5a021adf07ad64b006811d65', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:36: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9639a26edd96761102e5647e39bfd29895c16b0b5a021adf07ad64b006811d65', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '143595a991bee0c48c8cc048f9f947f33ae2f35d08466c37bb8559af98111d6b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '874de6fafa43707048b195133e64cb9d821835e0f548f2fc35bf9cd2c0a01920', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:20:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:20:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '874de6fafa43707048b195133e64cb9d821835e0f548f2fc35bf9cd2c0a01920', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
