Testing SD card write operations: 2022-07-07 18:45:07
2022-07-07 18:45:35: {'Acceleration': '(-0.3964844, -0.4586182, 0.9074707)', 'Roll': '23.60107', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '24.84924'}
2022-07-07 18:45:36: {'Acceleration': '(-0.3553467, -0.524292, 0.8120117)', 'Roll': '23.47407', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.13678'}
2022-07-07 18:45:37: {'Acceleration': '(-0.3848877, -0.5250244, 0.7614746)', 'Roll': '26.81434', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '31.60588'}
2022-07-07 18:45:38: {'Acceleration': '(-0.3791504, -0.5831299, 0.7340088)', 'Roll': '27.3185', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '35.21598'}
2022-07-07 18:45:39: {'Acceleration': '(-0.3759766, -0.6029053, 0.7303467)', 'Roll': '27.10713', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '36.20808'}
2022-07-07 18:45:39: {'Acceleration': '(-0.5018311, -0.5374756, 0.6722412)', 'Roll': '29.12001', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '33.66973'}
2022-07-07 18:45:40: {'Acceleration': '(-0.2218018, -0.5892334, 0.7612305)', 'Roll': '16.24468', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '35.07196'}
2022-07-07 18:45:41: {'Acceleration': '(-0.3510742, -0.6489258, 0.7696533)', 'Roll': '24.57837', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '36.10143'}
2022-07-07 18:45:42: {'Acceleration': '(-0.27771, -0.5623779, 0.854126)', 'Roll': '14.92843', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.92807'}
2022-07-07 18:45:43: {'Acceleration': '(-0.5178223, -0.5491943, 0.8094482)', 'Roll': '32.60796', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '29.58912'}
2022-07-07 18:45:44: {'Acceleration': '(-0.4111328, -0.5650635, 0.8787842)', 'Roll': '26.66063', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '29.47043'}
2022-07-07 18:45:45: {'Acceleration': '(-0.6043701, -0.4611816, 0.8231201)', 'Roll': '32.01531', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '25.41095'}
2022-07-07 18:45:45: {'Acceleration': '(-0.3841553, -0.4678955, 0.7011719)', 'Roll': '28.71728', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '29.80979'}
2022-07-07 18:45:46: {'Acceleration': '(-0.3474121, -0.5096436, 0.8653564)', 'Roll': '24.10105', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '30.49092'}
2022-07-07 18:45:47: {'Acceleration': '(-0.3171387, -0.5245361, 0.6446533)', 'Roll': '26.80653', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '34.44898'}
2022-07-07 18:45:48: {'Acceleration': '(-0.4250488, -0.5455322, 0.7823486)', 'Roll': '28.51517', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '32.45163'}
2022-07-07 18:45:49: {'Acceleration': '(-0.4764404, -0.6080322, 0.8258057)', 'Roll': '32.49846', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '33.29854'}
2022-07-07 18:45:50: {'Acceleration': '(-0.447998, -0.6343994, 0.7456055)', 'Roll': '32.71184', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '35.07675'}
2022-07-07 18:45:51: {'Acceleration': '(-0.447998, -0.5568848, 0.614624)', 'Roll': '36.08822', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '34.87731'}
2022-07-07 18:45:52: {'Acceleration': '(-0.5257568, -0.5587158, 0.6856689)', 'Roll': '35.77494', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '32.43245'}
2022-07-07 18:45:52: {'Acceleration': '(-0.5557861, -0.5214844, 0.6834717)', 'Roll': '39.11735', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '30.62437'}
2022-07-07 18:45:53: {'Acceleration': '(-0.5294189, -0.5895996, 0.776123)', 'Roll': '34.96473', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '32.82726'}
2022-07-07 18:45:54: {'Acceleration': '(-0.5452881, -0.5449219, 0.647583)', 'Roll': '41.54542', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '33.0782'}
2022-07-07 18:45:55: {'Acceleration': '(-0.4833984, -0.5400391, 0.7590332)', 'Roll': '32.49146', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '30.96862'}
2022-07-07 18:45:56: {'Acceleration': '(-0.5096436, -0.4921875, 0.6397705)', 'Roll': '38.88449', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.72672'}
2022-07-07 18:45:57: {'Acceleration': '(-0.6309814, -0.4775391, 0.8225098)', 'Roll': '37.49331', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '24.73327'}
2022-07-07 18:45:58: {'Acceleration': '(-0.5397949, -0.4279785, 0.666626)', 'Roll': '36.814', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '25.30334'}
2022-07-07 18:45:58: {'Acceleration': '(-0.5606689, -0.5126953, 0.7618408)', 'Roll': '37.71868', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '27.59574'}
2022-07-07 18:45:59: {'Acceleration': '(-0.5765381, -0.4331055, 0.7679443)', 'Roll': '36.89758', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '24.27636'}
2022-07-07 18:46:00: {'Acceleration': '(-0.5072021, -0.4355469, 0.741333)', 'Roll': '38.65417', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '29.38668'}
2022-07-07 18:46:01: {'Acceleration': '(-0.5756836, -0.4769287, 0.8355713)', 'Roll': '34.56568', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '25.1747'}
2022-07-07 18:46:02: {'Acceleration': '(-0.5535889, -0.4365234, 0.7315674)', 'Roll': '37.11538', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '25.44597'}
2022-07-07 18:46:03: {'Acceleration': '(-0.6090088, -0.5275879, 0.8134766)', 'Roll': '37.1768', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '27.32792'}
2022-07-07 18:46:04: {'Acceleration': '(-0.5461426, -0.4747314, 0.7738037)', 'Roll': '35.21404', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '26.62162'}
2022-07-07 18:46:04: {'Acceleration': '(-0.5629883, -0.3703613, 0.7667236)', 'Roll': '36.28902', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '22.67251'}
2022-07-07 18:46:05: {'Acceleration': '(-0.4919434, -0.4602051, 0.6231689)', 'Roll': '38.28834', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '30.09846'}
2022-07-07 18:46:06: {'Acceleration': '(-0.5983887, -0.3986816, 0.8514404)', 'Roll': '35.09938', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '21.78075'}
2022-07-07 18:46:07: {'Acceleration': '(-0.5683594, -0.3439941, 0.7452393)', 'Roll': '37.34615', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '19.58258'}
2022-07-07 18:46:08: {'Acceleration': '(-0.6335449, -0.3459473, 0.7615967)', 'Roll': '39.75585', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '21.56535'}
2022-07-07 18:46:09: {'Acceleration': '(-0.5056152, -0.3498535, 0.8083496)', 'Roll': '34.25526', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '22.43699'}
2022-07-07 18:46:10: {'Acceleration': '(-0.5922852, -0.4049072, 0.7434082)', 'Roll': '37.87107', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '23.26548'}
2022-07-07 18:46:11: {'Acceleration': '(-0.6071777, -0.3743896, 0.7940674)', 'Roll': '37.40307', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '19.8299'}
2022-07-07 18:46:11: {'Acceleration': '(-0.5837402, -0.3757324, 0.7774658)', 'Roll': '36.38901', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '21.36131'}
2022-07-07 18:46:12: {'Acceleration': '(-0.6391602, -0.4124756, 0.8057861)', 'Roll': '37.64109', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '22.06481'}
2022-07-07 18:46:13: {'Acceleration': '(-0.53479, -0.4071045, 0.7749023)', 'Roll': '34.61105', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '23.38304'}
2022-07-07 18:46:14: {'Acceleration': '(-0.5766602, -0.4020996, 0.7524414)', 'Roll': '37.46603', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '23.06662'}
2022-07-07 18:46:15: {'Acceleration': '(-0.5891113, -0.3482666, 0.7595215)', 'Roll': '37.7984', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '19.91651'}
2022-07-07 18:46:16: {'Acceleration': '(-0.5356445, -0.4116211, 0.7587891)', 'Roll': '34.90568', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '24.01681'}
2022-07-07 18:46:17: {'Acceleration': '(-0.5131836, -0.2788086, 0.8154297)', 'Roll': '32.1839', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '16.13929'}
2022-07-07 18:46:18: {'Acceleration': '(-0.4117432, -0.5046387, 0.8741455)', 'Roll': '25.22154', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '28.9923'}
2022-07-07 18:46:18: {'Acceleration': '(-0.4320068, 0.02832031, 0.9230957)', 'Roll': '37.46217', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '3.724787'}
2022-07-07 18:46:19: {'Acceleration': '(-0.5318604, -0.2559814, 0.8543701)', 'Roll': '31.63672', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '14.31033'}
2022-07-07 18:46:20: {'Acceleration': '(-0.5849609, -0.3415527, 0.802002)', 'Roll': '36.10611', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '19.26379'}
2022-07-07 18:46:21: {'Acceleration': '(-0.5498047, -0.1862793, 0.9755859)', 'Roll': '30.63592', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.4332'}
2022-07-07 18:46:22: {'Acceleration': '(-0.5908203, -0.2382813, 0.7348633)', 'Roll': '38.83348', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '14.17547'}
2022-07-07 18:46:23: {'Acceleration': '(-0.625, -0.2884521, 0.8178711)', 'Roll': '37.38631', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '15.93919'}
2022-07-07 18:46:24: {'Acceleration': '(-0.5773926, -0.2871094, 0.7637939)', 'Roll': '37.41215', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '17.60335'}
2022-07-07 18:46:24: {'Acceleration': '(-0.5759277, -0.3740234, 0.8013916)', 'Roll': '35.70328', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '20.7566'}
2022-07-07 18:46:25: {'Acceleration': '(-0.5678711, -0.2038574, 0.744873)', 'Roll': '37.32092', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '12.61495'}
2022-07-07 18:46:26: {'Acceleration': '(-0.5400391, -0.2177734, 0.7244873)', 'Roll': '38.52537', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '14.2085'}
2022-07-07 18:46:27: {'Acceleration': '(-0.5187988, -0.206543, 0.6234131)', 'Roll': '39.76692', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '14.28739'}
2022-07-07 18:46:28: {'Acceleration': '(-0.5651855, -0.2889404, 0.8188477)', 'Roll': '37.01443', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '14.6565'}
2022-07-07 18:46:29: {'Acceleration': '(-0.4932861, -0.2229004, 0.6881104)', 'Roll': '35.63563', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '14.74964'}
2022-07-07 18:46:30: {'Acceleration': '(-0.5847168, -0.1376953, 0.7581787)', 'Roll': '37.63985', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '8.183777'}
2022-07-07 18:46:30: {'Acceleration': '(-0.5626221, -0.2767334, 0.7729492)', 'Roll': '35.30799', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '15.74776'}
2022-07-07 18:46:31: {'Acceleration': '(-0.6508789, -0.1804199, 0.7537842)', 'Roll': '40.81001', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.2684'}
2022-07-07 18:46:32: {'Acceleration': '(-0.6593018, -0.2471924, 0.7774658)', 'Roll': '40.2984', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '17.55824'}
2022-07-07 18:46:33: {'Acceleration': '(-0.5740967, -0.2060547, 0.5756836)', 'Roll': '44.92092', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '14.22182'}
2022-07-07 18:46:34: {'Acceleration': '(-0.6546631, -0.2141113, 0.8657227)', 'Roll': '37.09672', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '11.15933'}
2022-07-07 18:46:35: {'Acceleration': '(-0.6503906, -0.1790771, 0.8184814)', 'Roll': '38.47174', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '8.735012'}
2022-07-07 18:46:36: {'Acceleration': '(-0.6442871, -0.1108398, 0.8798828)', 'Roll': '37.48711', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '5.355796'}
2022-07-07 18:46:37: {'Acceleration': '(-0.5778809, -0.154541, 0.8273926)', 'Roll': '34.42305', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '8.75885'}
2022-07-07 18:46:37: {'Acceleration': '(-0.5466309, -0.2010498, 0.8447266)', 'Roll': '32.9073', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.50212'}
2022-07-07 18:46:38: {'Acceleration': '(-0.553833, -0.1682129, 0.8010254)', 'Roll': '34.17086', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.06107'}
2022-07-07 18:46:39: {'Acceleration': '(-0.5655518, -0.1894531, 0.8492432)', 'Roll': '33.66155', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.51884'}
2022-07-07 18:46:40: {'Acceleration': '(-0.5731201, -0.1864014, 0.8320313)', 'Roll': '34.83225', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.58318'}
2022-07-07 18:46:41: {'Acceleration': '(-0.5722656, -0.1347656, 0.8289795)', 'Roll': '34.6183', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '7.620138'}
2022-07-07 18:46:42: {'Acceleration': '(-0.5876465, -0.1578369, 0.8355713)', 'Roll': '35.11822', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '8.775795'}
2022-07-07 18:46:43: {'Acceleration': '(-0.5196533, -0.2750244, 0.8342285)', 'Roll': '31.91939', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '15.63299'}
2022-07-07 18:46:43: {'Acceleration': '(-0.5452881, -0.2686768, 0.8270264)', 'Roll': '33.39829', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '15.17487'}
2022-07-07 18:46:44: {'Acceleration': '(-0.5410156, -0.2700195, 0.8199463)', 'Roll': '33.41756', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '15.54015'}
2022-07-07 18:46:45: {'Acceleration': '(-0.5384521, -0.25354, 0.8208008)', 'Roll': '33.26521', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '14.48178'}
2022-07-07 18:46:46: {'Acceleration': '(-0.5457764, -0.2437744, 0.8189697)', 'Roll': '33.68021', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '13.8167'}
2022-07-07 18:46:47: {'Acceleration': '(-0.5639648, -0.2250977, 0.8244629)', 'Roll': '34.54922', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.54269'}
2022-07-07 18:46:48: {'Acceleration': '(-0.5638428, -0.2250977, 0.8199463)', 'Roll': '34.51468', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '12.59869'}
