Testing SD card write operations: 2022-07-07 18:45:01
2022-07-07 18:45:50: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:45:52: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:45:54: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:45:56: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:45:58: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:45:58: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-66}
2022-07-07 18:46:00: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:00: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-56}
2022-07-07 18:46:02: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-07 18:46:03: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:46:05: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-07 18:46:07: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:46:09: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:09: {'ssid':'B73', 'bssid':'932ba14f0760171982962f8867647f595e1a5889d6ca550f368014888f9f17cd', 'sec':0, 'channel':6, 'rssi':-92}
2022-07-07 18:46:09: {'ssid':'B74', 'bssid':'38d0a88e28e88ec646bd011ba690550de5f06892bc53e0b8169734c55e12f8e5', 'sec':4, 'channel':6, 'rssi':-94}
2022-07-07 18:46:09: {'ssid':'B75', 'bssid':'0ebee9a5e07aeca5d5de3cb31700535277a05fcda2942508902b864dfe501bae', 'sec':5, 'channel':6, 'rssi':-95}
2022-07-07 18:46:11: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:13: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:46:13: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-57}
2022-07-07 18:46:15: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:46:17: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-07 18:46:17: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-66}
2022-07-07 18:46:18: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-07 18:46:18: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-53}
2022-07-07 18:46:20: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-07 18:46:22: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:46:22: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-07 18:46:24: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:26: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:28: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-07 18:46:28: {'ssid':'B76', 'bssid':'cbf442db50fda74f45c6de94f3b3df90740583dc39681e5a807148eaa67dad9c', 'sec':5, 'channel':6, 'rssi':-93}
2022-07-07 18:46:30: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:31: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:33: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:33: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-07 18:46:35: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:35: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-53}
2022-07-07 18:46:37: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-07 18:46:39: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-07 18:46:41: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:46:41: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-61}
2022-07-07 18:46:43: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:43: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-60}
2022-07-07 18:46:45: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-07 18:46:45: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-57}
2022-07-07 18:46:46: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:48: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:46:50: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-07 18:46:52: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-07 18:46:52: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-65}
2022-07-07 18:46:54: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:46:54: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-56}
2022-07-07 18:46:56: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:58: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:46:59: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-07 18:46:59: {'ssid':'B77', 'bssid':'77399e0ccff829f67f8ed70ac756414436bb64bc50ea51e9b676e7931f648c06', 'sec':5, 'channel':11, 'rssi':-94}
2022-07-07 18:46:59: {'ssid':'B78', 'bssid':'22db0bc394bdebb294275a880f56e829f675bc29a77c6e2874610d40f5be035c', 'sec':0, 'channel':11, 'rssi':-94}
2022-07-07 18:47:01: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-07 18:47:03: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:47:05: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-07 18:47:07: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:47:07: {'ssid':'B78', 'bssid':'1cd307a7b66539e72d6d1b117800eae9e059f43f5720bcb327c3fa561490b16e', 'sec':0, 'channel':11, 'rssi':-94}
2022-07-07 18:47:07: {'ssid':'B77', 'bssid':'929cab645bc3fefb4359f5c8d4d5421912384b529bd0b508d05292b6546bc437', 'sec':5, 'channel':11, 'rssi':-96}
2022-07-07 18:47:09: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-07 18:47:09: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-56}
2022-07-07 18:47:11: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:47:13: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-07 18:47:14: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:47:16: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:47:16: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-60}
2022-07-07 18:47:18: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-07 18:47:18: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-56}
2022-07-07 18:47:20: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:47:20: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-48}
2022-07-07 18:47:20: {'ssid':'B79', 'bssid':'cebe16f96f51e4de7616e0fd725aa377338be1695ef3a29e666a7b5597e94250', 'sec':2, 'channel':1, 'rssi':-91}
2022-07-07 18:47:22: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:47:22: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-44}
2022-07-07 18:47:24: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
