Testing SD card write operations: 2022-07-01 13:03:13
2022-07-01 13:03:40: {'Acceleration': '(-0.5102539, -0.3345947, 0.8737793)', 'Roll': '31.86146', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.24645'}
2022-07-01 13:03:41: {'Acceleration': '(-0.4760742, -0.2888184, 0.8643799)', 'Roll': '28.84464', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '16.31359'}
2022-07-01 13:03:42: {'Acceleration': '(-0.4876709, -0.2767334, 0.8653564)', 'Roll': '28.9854', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.7255'}
2022-07-01 13:03:42: {'Acceleration': '(-0.4790039, -0.2789307, 0.8569336)', 'Roll': '29.20407', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.53354'}
2022-07-01 13:03:43: {'Acceleration': '(-0.4836426, -0.2694092, 0.8547363)', 'Roll': '29.93651', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.93301'}
2022-07-01 13:03:44: {'Acceleration': '(-0.4541016, -0.3022461, 0.8620605)', 'Roll': '27.7786', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '16.5948'}
2022-07-01 13:03:45: {'Acceleration': '(-0.4732666, -0.2613525, 0.8748779)', 'Roll': '28.41124', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.72169'}
2022-07-01 13:03:46: {'Acceleration': '(-0.5166016, -0.2490234, 0.8548584)', 'Roll': '31.14509', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '13.99931'}
2022-07-01 13:03:47: {'Acceleration': '(-0.513916, -0.2545166, 0.8546143)', 'Roll': '30.86199', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.47798'}
2022-07-01 13:03:48: {'Acceleration': '(-0.5552979, -0.3338623, 0.8443604)', 'Roll': '33.6939', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '19.43823'}
2022-07-01 13:03:48: {'Acceleration': '(-0.5087891, -0.2354736, 0.829834)', 'Roll': '31.51336', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '13.14113'}
2022-07-01 13:03:49: {'Acceleration': '(-0.5079346, -0.08911133, 0.8204346)', 'Roll': '31.76183', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.180057'}
2022-07-01 13:03:50: {'Acceleration': '(-0.4052734, -0.105835, 0.6846924)', 'Roll': '30.62154', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.870783'}
2022-07-01 13:03:51: {'Acceleration': '(-0.6435547, -0.1633301, 0.9259033)', 'Roll': '34.80146', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '8.241901'}
2022-07-01 13:03:52: {'Acceleration': '(-0.07263184, -0.1419678, 0.8044434)', 'Roll': '5.159151', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '9.968744'}
2022-07-01 13:03:53: {'Acceleration': '(-1.021484, -0.1658936, 0.666626)', 'Roll': '56.87132', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '7.744981'}
2022-07-01 13:03:54: {'Acceleration': '(-0.5313721, -0.02148438, 0.6252441)', 'Roll': '40.68962', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.49249'}
2022-07-01 13:03:54: {'Acceleration': '(-0.9025879, -0.4060059, 0.7188721)', 'Roll': '51.4642', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '19.33488'}
2022-07-01 13:03:55: {'Acceleration': '(-0.8922119, -0.01708984, 0.7739258)', 'Roll': '48.74078', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-3.29319'}
2022-07-01 13:03:56: {'Acceleration': '(-0.4914551, -0.1914063, 0.7800293)', 'Roll': '32.21285', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.909882'}
2022-07-01 13:03:57: {'Acceleration': '(-0.6306152, -0.380249, 0.7775879)', 'Roll': '39.04167', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '20.79723'}
2022-07-01 13:03:58: {'Acceleration': '(-0.6230469, 0.1177979, 0.8551025)', 'Roll': '36.07792', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-3.101134'}
2022-07-01 13:03:59: {'Acceleration': '(-0.3283691, -0.01403809, 0.7619629)', 'Roll': '23.3137', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.9693135'}
2022-07-01 13:04:00: {'Acceleration': '(-0.6635742, -0.2695313, 1.030884)', 'Roll': '25.65424', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '13.26163'}
2022-07-01 13:04:00: {'Acceleration': '(-0.3775635, -0.3568115, 0.8677979)', 'Roll': '23.513', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '20.65792'}
2022-07-01 13:04:01: {'Acceleration': '(-0.9631348, -0.01416016, 0.9914551)', 'Roll': '43.25593', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.5959534'}
