Testing SD card write operations: 2022-07-01 13:02:44
2022-07-01 13:03:01: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-01 13:03:01: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-92}
2022-07-01 13:03:03: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:03:03: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-71}
2022-07-01 13:03:03: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-01 13:03:03: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-82}
2022-07-01 13:03:05: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:03:05: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-65}
2022-07-01 13:03:05: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-01 13:03:07: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:03:07: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-64}
2022-07-01 13:03:07: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-70}
2022-07-01 13:03:07: {'ssid':'P53', 'bssid':'de71fbc485849bef79d6b0d94f9f3898acc013a3156eb77dcd529c6e', 'sec':0, 'channel':8, 'rssi':-84}
2022-07-01 13:03:09: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-01 13:03:09: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-64}
2022-07-01 13:03:09: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-76}
