Testing SD card write operations: 2022-07-01 13:02:44
2022-07-01 13:04:08: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-01 13:04:08: {'ssid':'P54', 'bssid':'8a0dd8d611b000d19a356c0b8581459630c58363158f783100f9fabf', 'sec':4, 'channel':11, 'rssi':-81}
2022-07-01 13:04:08: {'ssid':'P51', 'bssid':'92b8399fbc7e7bdf911c6daf611234422fc48b4cd02d3de778ab8509', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-01 13:04:10: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:04:10: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-63}
2022-07-01 13:04:10: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-01 13:04:11: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:04:11: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-58}
2022-07-01 13:04:11: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-86}
2022-07-01 13:04:13: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:04:13: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-53}
2022-07-01 13:04:15: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-01 13:04:15: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-64}
2022-07-01 13:04:17: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-01 13:04:17: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-69}
2022-07-01 13:04:17: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-01 13:04:19: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:04:19: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-66}
2022-07-01 13:04:19: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-92}
2022-07-01 13:04:21: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:04:21: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-73}
2022-07-01 13:04:23: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-01 13:04:23: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-66}
2022-07-01 13:04:25: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:04:25: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-80}
2022-07-01 13:04:26: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-01 13:04:26: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-68}
2022-07-01 13:04:26: {'ssid':'P54', 'bssid':'8a0dd8d611b000d19a356c0b8581459630c58363158f783100f9fabf', 'sec':4, 'channel':11, 'rssi':-80}
2022-07-01 13:04:26: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-91}
2022-07-01 13:04:28: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-01 13:04:28: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-77}
2022-07-01 13:04:30: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:04:30: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-68}
2022-07-01 13:04:30: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-01 13:04:32: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:04:32: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-01 13:04:34: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-72}
2022-07-01 13:04:34: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-01 13:04:36: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:04:36: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-76}
2022-07-01 13:04:36: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-01 13:04:38: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:04:38: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-73}
2022-07-01 13:04:40: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:04:40: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-01 13:04:40: {'ssid':'P56', 'bssid':'d526a274f0a218045e1dc2e63544b9380938459b3dd8bf5109d24ecf', 'sec':3, 'channel':6, 'rssi':-96}
2022-07-01 13:04:42: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-01 13:04:42: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-83}
2022-07-01 13:04:42: {'ssid':'P54', 'bssid':'8a0dd8d611b000d19a356c0b8581459630c58363158f783100f9fabf', 'sec':4, 'channel':11, 'rssi':-89}
2022-07-01 13:04:43: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-01 13:04:43: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-81}
2022-07-01 13:04:45: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:04:45: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-01 13:04:45: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-83}
2022-07-01 13:04:47: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-01 13:04:47: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-78}
2022-07-01 13:04:47: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-79}
2022-07-01 13:04:49: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-01 13:04:49: {'ssid':'P57', 'bssid':'8d387938ef5912c260ef7603bf6f06a6bf154bb266eeb4b44fccb7d8', 'sec':4, 'channel':6, 'rssi':-86}
2022-07-01 13:04:51: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:04:51: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-64}
2022-07-01 13:04:51: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-82}
2022-07-01 13:04:51: {'ssid':'P54', 'bssid':'8a0dd8d611b000d19a356c0b8581459630c58363158f783100f9fabf', 'sec':4, 'channel':11, 'rssi':-96}
2022-07-01 13:04:53: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-01 13:04:53: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-68}
2022-07-01 13:04:53: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-75}
2022-07-01 13:04:53: {'ssid':'P58', 'bssid':'e6dd8eef6a3d1414541d27d7a86a8b8a95e2b6fb0f80115bfc52ca61', 'sec':5, 'channel':1, 'rssi':-85}
2022-07-01 13:04:53: {'ssid':'P59', 'bssid':'e097374ef6e98f3a512435d11feacbcd77e6da9033556bdf5e8acefe', 'sec':2, 'channel':1, 'rssi':-86}
2022-07-01 13:04:53: {'ssid':'P510', 'bssid':'9e0cf5c82d8c32cc1293bf482d9bb0e8192bdd0b4463ab3fb60546c7', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-01 13:04:55: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-59}
2022-07-01 13:04:55: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-65}
2022-07-01 13:04:55: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-81}
2022-07-01 13:04:55: {'ssid':'P57', 'bssid':'8d387938ef5912c260ef7603bf6f06a6bf154bb266eeb4b44fccb7d8', 'sec':4, 'channel':6, 'rssi':-92}
2022-07-01 13:04:57: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:04:57: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-71}
2022-07-01 13:04:57: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-76}
2022-07-01 13:04:59: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:04:59: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-76}
2022-07-01 13:05:00: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-01 13:05:00: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-66}
2022-07-01 13:05:00: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-78}
2022-07-01 13:05:00: {'ssid':'P511', 'bssid':'d1b5e4da2cab787548e760d3934ca3e004d8936b31f85885e4c754ba', 'sec':3, 'channel':6, 'rssi':-93}
2022-07-01 13:05:02: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-01 13:05:02: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-74}
2022-07-01 13:05:02: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-76}
2022-07-01 13:05:02: {'ssid':'P511', 'bssid':'d1b5e4da2cab787548e760d3934ca3e004d8936b31f85885e4c754ba', 'sec':3, 'channel':6, 'rssi':-90}
2022-07-01 13:05:04: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-01 13:05:04: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-01 13:05:04: {'ssid':'P511', 'bssid':'d1b5e4da2cab787548e760d3934ca3e004d8936b31f85885e4c754ba', 'sec':3, 'channel':6, 'rssi':-90}
2022-07-01 13:05:06: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:05:08: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-01 13:05:08: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-70}
2022-07-01 13:05:10: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:05:12: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:05:12: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-74}
2022-07-01 13:05:14: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-01 13:05:14: {'ssid':'P59', 'bssid':'e097374ef6e98f3a512435d11feacbcd77e6da9033556bdf5e8acefe', 'sec':2, 'channel':1, 'rssi':-86}
2022-07-01 13:05:14: {'ssid':'P510', 'bssid':'9e0cf5c82d8c32cc1293bf482d9bb0e8192bdd0b4463ab3fb60546c7', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-01 13:05:14: {'ssid':'P58', 'bssid':'e6dd8eef6a3d1414541d27d7a86a8b8a95e2b6fb0f80115bfc52ca61', 'sec':5, 'channel':1, 'rssi':-87}
2022-07-01 13:05:14: {'ssid':'P512', 'bssid':'e25ec91bfdf4c331aec06ba5f07e7ddd8ca13e651da39d1f188dbe87', 'sec':3, 'channel':1, 'rssi':-89}
2022-07-01 13:05:16: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:05:16: {'ssid':'P56', 'bssid':'d526a274f0a218045e1dc2e63544b9380938459b3dd8bf5109d24ecf', 'sec':3, 'channel':6, 'rssi':-94}
2022-07-01 13:05:17: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:05:17: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-01 13:05:19: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-01 13:05:21: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-01 13:05:23: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-62}
2022-07-01 13:05:23: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-83}
2022-07-01 13:05:25: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-01 13:05:25: {'ssid':'P513', 'bssid':'0e88470412f1297a1530c64cf63215586595359b87c6a0fdc2847096', 'sec':5, 'channel':1, 'rssi':-89}
2022-07-01 13:05:27: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-01 13:05:27: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-01 13:05:27: {'ssid':'P58', 'bssid':'5ae33609e96c16904b2c98881668abe80180495922c350ad03aa450c', 'sec':5, 'channel':11, 'rssi':-93}
2022-07-01 13:05:27: {'ssid':'P514', 'bssid':'eafa3b98bed89ba9781763f10553e6ab40f66719e3332e13efb9ff28', 'sec':2, 'channel':11, 'rssi':-94}
2022-07-01 13:05:27: {'ssid':'P510', 'bssid':'844294664139a0433b715302187b0e2852156c630a3ca9cf72dcece5', 'sec':0, 'channel':11, 'rssi':-94}
2022-07-01 13:05:27: {'ssid':'P510', 'bssid':'9e0cf5c82d8c32cc1293bf482d9bb0e8192bdd0b4463ab3fb60546c7', 'sec':0, 'channel':1, 'rssi':-96}
2022-07-01 13:05:29: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-01 13:05:31: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:05:31: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-01 13:05:32: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-01 13:05:34: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-01 13:05:34: {'ssid':'P512', 'bssid':'e25ec91bfdf4c331aec06ba5f07e7ddd8ca13e651da39d1f188dbe87', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-01 13:05:36: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:05:38: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-01 13:05:40: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:05:42: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-01 13:05:42: {'ssid':'P58', 'bssid':'5ae33609e96c16904b2c98881668abe80180495922c350ad03aa450c', 'sec':5, 'channel':11, 'rssi':-95}
2022-07-01 13:05:42: {'ssid':'P514', 'bssid':'eafa3b98bed89ba9781763f10553e6ab40f66719e3332e13efb9ff28', 'sec':2, 'channel':11, 'rssi':-95}
2022-07-01 13:05:42: {'ssid':'P510', 'bssid':'844294664139a0433b715302187b0e2852156c630a3ca9cf72dcece5', 'sec':0, 'channel':11, 'rssi':-95}
2022-07-01 13:05:44: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:05:44: {'ssid':'P514', 'bssid':'7df44ab5d01111befc0fac9661d7746adc4083104a563da24540849d', 'sec':4, 'channel':11, 'rssi':-80}
2022-07-01 13:05:45: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:05:45: {'ssid':'P515', 'bssid':'d057c515793c06e2521b8d037d7dff99416f008894a2d03e9d71f74e', 'sec':3, 'channel':2, 'rssi':-93}
2022-07-01 13:05:47: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:05:47: {'ssid':'P58', 'bssid':'5ae33609e96c16904b2c98881668abe80180495922c350ad03aa450c', 'sec':5, 'channel':11, 'rssi':-87}
2022-07-01 13:05:47: {'ssid':'P514', 'bssid':'eafa3b98bed89ba9781763f10553e6ab40f66719e3332e13efb9ff28', 'sec':2, 'channel':11, 'rssi':-88}
2022-07-01 13:05:47: {'ssid':'P510', 'bssid':'844294664139a0433b715302187b0e2852156c630a3ca9cf72dcece5', 'sec':0, 'channel':11, 'rssi':-88}
2022-07-01 13:05:47: {'ssid':'P55', 'bssid':'f652d40c1346e84b84a8e85151a197db8533e32a13a9dc5ebc5562ce', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-01 13:05:49: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:05:49: {'ssid':'P58', 'bssid':'5ae33609e96c16904b2c98881668abe80180495922c350ad03aa450c', 'sec':5, 'channel':11, 'rssi':-85}
2022-07-01 13:05:49: {'ssid':'P514', 'bssid':'eafa3b98bed89ba9781763f10553e6ab40f66719e3332e13efb9ff28', 'sec':2, 'channel':11, 'rssi':-85}
2022-07-01 13:05:49: {'ssid':'P510', 'bssid':'844294664139a0433b715302187b0e2852156c630a3ca9cf72dcece5', 'sec':0, 'channel':11, 'rssi':-86}
2022-07-01 13:05:49: {'ssid':'P514', 'bssid':'7df44ab5d01111befc0fac9661d7746adc4083104a563da24540849d', 'sec':4, 'channel':11, 'rssi':-94}
2022-07-01 13:05:51: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:05:51: {'ssid':'P514', 'bssid':'eafa3b98bed89ba9781763f10553e6ab40f66719e3332e13efb9ff28', 'sec':2, 'channel':11, 'rssi':-79}
2022-07-01 13:05:51: {'ssid':'P510', 'bssid':'844294664139a0433b715302187b0e2852156c630a3ca9cf72dcece5', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-01 13:05:51: {'ssid':'P58', 'bssid':'5ae33609e96c16904b2c98881668abe80180495922c350ad03aa450c', 'sec':5, 'channel':11, 'rssi':-79}
2022-07-01 13:05:51: {'ssid':'P516', 'bssid':'88b90f63584fa2d1fc69754598ef39f3a88ceaa367cba4b5104035f0', 'sec':3, 'channel':5, 'rssi':-87}
2022-07-01 13:05:53: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:05:53: {'ssid':'P514', 'bssid':'eafa3b98bed89ba9781763f10553e6ab40f66719e3332e13efb9ff28', 'sec':2, 'channel':11, 'rssi':-80}
2022-07-01 13:05:53: {'ssid':'P510', 'bssid':'844294664139a0433b715302187b0e2852156c630a3ca9cf72dcece5', 'sec':0, 'channel':11, 'rssi':-80}
2022-07-01 13:05:53: {'ssid':'P58', 'bssid':'5ae33609e96c16904b2c98881668abe80180495922c350ad03aa450c', 'sec':5, 'channel':11, 'rssi':-80}
2022-07-01 13:05:55: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-01 13:05:55: {'ssid':'P517', 'bssid':'a1e8ee082652111d305e5d7b82c746b3e9f3820ad410832763dd4001', 'sec':3, 'channel':1, 'rssi':-84}
