Testing SD card write operations: 2022-05-21 10:26:43
2022-05-21 10:27:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:05: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'103d0a4a70af', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:06: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe2a4', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -35, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -35, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:09: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'103d0a4a70af', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:10: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'103d0a4a70af', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:11: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'103d0a4a70af', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'729852d63515', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-21 10:27:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:13: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe2a4', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6443a2524058', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-21 10:27:16: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'103d0a4a70af', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
