Testing SD card write operations: 2022-06-25 14:23:00
2022-06-25 14:23:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3df88128d5ba885eb4767886993f263bd4502ef9ff6d1770de5f53b1d1f9fe5f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:16: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'b9895e5b31b1f68d32f25078dd4f10e700dd29a39a672bff40fc15c09300b7c9', 'rssi': -73, 'name': 'BB40', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:17: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ebce1d3aefb6f99180f42a978becc2afbe0fde9769b5df04b772b13a5f4ba51', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:23:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:20: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3df88128d5ba885eb4767886993f263bd4502ef9ff6d1770de5f53b1d1f9fe5f', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b7a2f2c4dddb5f59e83021a5646970c99284834c669420d38af4f0e3635fc960', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:34: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'b9895e5b31b1f68d32f25078dd4f10e700dd29a39a672bff40fc15c09300b7c9', 'rssi': -65, 'name': 'BB40', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
