Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:58:01: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-72}
2022-07-08 08:58:01: {'ssid':'AndroidAPEEB8', 'bssid':b'\xba\xd7\xaf\x97\xee\xb8', 'sec':3, 'channel':11, 'rssi':-80}
2022-07-08 08:58:03: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 08:58:03: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-63}
2022-07-08 08:58:03: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-65}
2022-07-08 08:58:03: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-66}
2022-07-08 08:58:03: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-67}
2022-07-08 08:58:03: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-08 08:58:03: {'ssid':'AndroidAPEEB8', 'bssid':b'\xba\xd7\xaf\x97\xee\xb8', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-08 08:58:05: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 08:58:05: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-65}
2022-07-08 08:58:05: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-66}
2022-07-08 08:58:05: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-68}
