Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:57:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'106c3eede5b4', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'685b71740bef', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'10d1a9f3e3c4', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'05aa0bf1322c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7a6ff77e6bf8', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'10d1a9f3e3c4', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5e71317403a5', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 08:58:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6db0263966d7', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'7d2352422712', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'530488c28243', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 08:58:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'd196fe399f6e', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7a8cf3a1efca', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 08:58:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6f58af65208b', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'685b71740bef', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
