Testing SD card write operations: 2022-06-27 09:35:23
2022-06-27 09:35:50: {'Acceleration': '(-0.09509277, -0.1446533, 1.02063)', 'Roll': '5.322919', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.032441'}
2022-06-27 09:35:51: {'Acceleration': '(-0.1087646, -0.138916, 0.987793)', 'Roll': '6.283454', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.95769'}
2022-06-27 09:35:52: {'Acceleration': '(-0.08813477, -0.1477051, 1.010986)', 'Roll': '4.982278', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '9.005527'}
2022-06-27 09:35:53: {'Acceleration': '(-0.09216309, -0.1303711, 0.9520264)', 'Roll': '5.529418', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '7.761779'}
2022-06-27 09:35:54: {'Acceleration': '(-0.0526123, -0.199707, 1.145874)', 'Roll': '2.628864', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.98794'}
2022-06-27 09:35:55: {'Acceleration': '(-0.07629395, -0.1571045, 0.9932861)', 'Roll': '4.392244', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.961844'}
2022-06-27 09:35:55: {'Acceleration': '(-0.08850098, -0.09899902, 0.9215088)', 'Roll': '4.696472', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.480181'}
2022-06-27 09:35:56: {'Acceleration': '(-0.08557129, -0.1394043, 0.9825439)', 'Roll': '4.707612', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '6.426672'}
2022-06-27 09:35:57: {'Acceleration': '(-0.07946777, -0.1402588, 1.066406)', 'Roll': '4.26176', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.732764'}
2022-06-27 09:35:58: {'Acceleration': '(-0.07202148, -0.1278076, 1.000732)', 'Roll': '4.11641', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.259503'}
2022-06-27 09:35:59: {'Acceleration': '(-0.08544922, -0.1260986, 0.9960938)', 'Roll': '4.903075', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.188749'}
2022-06-27 09:36:00: {'Acceleration': '(-0.1097412, -0.1317139, 1.028809)', 'Roll': '4.855314', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '7.68089'}
2022-06-27 09:36:01: {'Acceleration': '(-0.1096191, -0.1099854, 0.9606934)', 'Roll': '6.509535', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.293803'}
2022-06-27 09:36:01: {'Acceleration': '(-0.08520508, -0.1459961, 0.9493408)', 'Roll': '5.128659', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.43305'}
2022-06-27 09:36:02: {'Acceleration': '(-0.08679199, -0.1383057, 1.014648)', 'Roll': '4.889121', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.73419'}
2022-06-27 09:36:03: {'Acceleration': '(-0.08325195, -0.1519775, 1.032959)', 'Roll': '5.220541', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '6.155757'}
2022-06-27 09:36:04: {'Acceleration': '(-0.08996582, -0.1375732, 1.006592)', 'Roll': '4.72121', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.700307'}
2022-06-27 09:36:05: {'Acceleration': '(-0.08862305, -0.1473389, 0.9952393)', 'Roll': '5.088594', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.242717'}
2022-06-27 09:36:06: {'Acceleration': '(-0.08642578, -0.1398926, 0.9870605)', 'Roll': '5.003984', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.036261'}
2022-06-27 09:36:07: {'Acceleration': '(-0.08752441, -0.1358643, 1.003296)', 'Roll': '4.985683', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.683134'}
2022-06-27 09:36:07: {'Acceleration': '(-0.1029053, -0.1190186, 1.029541)', 'Roll': '5.301211', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.532536'}
2022-06-27 09:36:08: {'Acceleration': '(-0.08325195, -0.1497803, 1.009399)', 'Roll': '4.714896', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.426348'}
2022-06-27 09:36:09: {'Acceleration': '(-0.09350586, -0.1564941, 1.030518)', 'Roll': '5.293135', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '9.10061'}
2022-06-27 09:36:10: {'Acceleration': '(-0.08508301, -0.1323242, 0.9798584)', 'Roll': '4.962656', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.429987'}
2022-06-27 09:36:11: {'Acceleration': '(-0.1019287, -0.1486816, 0.9404297)', 'Roll': '6.18587', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.913445'}
2022-06-27 09:36:12: {'Acceleration': '(-0.09338379, -0.1234131, 0.973999)', 'Roll': '5.476589', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.188711'}
2022-06-27 09:36:12: {'Acceleration': '(-0.08325195, -0.1402588, 1.005615)', 'Roll': '5.010251', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.009579'}
2022-06-27 09:36:13: {'Acceleration': '(-0.08813477, -0.1256104, 1.017822)', 'Roll': '4.703355', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.618314'}
2022-06-27 09:36:14: {'Acceleration': '(-0.09216309, -0.1286621, 0.9869385)', 'Roll': '5.403407', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.000979'}
2022-06-27 09:36:15: {'Acceleration': '(-0.09448242, -0.1107178, 0.9532471)', 'Roll': '5.660463', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.593087'}
2022-06-27 09:36:16: {'Acceleration': '(-0.0838623, -0.1263428, 0.9864502)', 'Roll': '4.859272', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.823702'}
2022-06-27 09:36:17: {'Acceleration': '(-0.07580566, -0.140625, 1.001831)', 'Roll': '4.32716', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.967803'}
2022-06-27 09:36:18: {'Acceleration': '(-0.08276367, -0.15271, 1.02124)', 'Roll': '4.633256', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.477255'}
2022-06-27 09:36:19: {'Acceleration': '(-0.09118652, -0.1384277, 0.9901123)', 'Roll': '5.261934', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.925827'}
2022-06-27 09:36:19: {'Acceleration': '(-0.09033203, -0.147583, 1.018433)', 'Roll': '4.938702', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '7.962919'}
2022-06-27 09:36:20: {'Acceleration': '(-0.08703613, -0.137085, 0.9973145)', 'Roll': '4.987595', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.496068'}
2022-06-27 09:36:21: {'Acceleration': '(-0.07373047, -0.1347656, 0.9711914)', 'Roll': '4.341427', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.797122'}
2022-06-27 09:36:22: {'Acceleration': '(-0.07543945, -0.1496582, 0.9968262)', 'Roll': '4.327874', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.501064'}
2022-06-27 09:36:23: {'Acceleration': '(-0.09143066, -0.1413574, 1.008057)', 'Roll': '5.182542', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.950188'}
2022-06-27 09:36:24: {'Acceleration': '(-0.08618164, -0.1392822, 1.003052)', 'Roll': '4.91076', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.876798'}
2022-06-27 09:36:24: {'Acceleration': '(-0.08862305, -0.1271973, 0.9935303)', 'Roll': '5.063704', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.5486'}
2022-06-27 09:36:25: {'Acceleration': '(-0.08703613, -0.1258545, 1.002441)', 'Roll': '4.962213', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '6.949589'}
2022-06-27 09:36:26: {'Acceleration': '(-0.08947754, -0.1235352, 1.002686)', 'Roll': '4.737935', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.658197'}
2022-06-27 09:36:27: {'Acceleration': '(-0.07897949, -0.1282959, 1.018799)', 'Roll': '4.432827', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.156148'}
2022-06-27 09:36:28: {'Acceleration': '(-0.09301758, -0.1286621, 0.9989014)', 'Roll': '5.320034', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.30822'}
2022-06-27 09:36:29: {'Acceleration': '(-0.08251953, -0.1453857, 1.004395)', 'Roll': '5.141462', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.764096'}
2022-06-27 09:36:30: {'Acceleration': '(-0.0847168, -0.12146, 0.991333)', 'Roll': '4.884484', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.374735'}
2022-06-27 09:36:30: {'Acceleration': '(-0.0880127, -0.1362305, 1.001343)', 'Roll': '5.023085', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.977812'}
2022-06-27 09:36:31: {'Acceleration': '(-0.08996582, -0.1329346, 1.015625)', 'Roll': '5.062146', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.42826'}
2022-06-27 09:36:32: {'Acceleration': '(-0.08410645, -0.1276855, 0.9901123)', 'Roll': '4.761372', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.452291'}
2022-06-27 09:36:33: {'Acceleration': '(-0.07775879, -0.1138916, 0.9737549)', 'Roll': '4.764797', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.827452'}
2022-06-27 09:36:34: {'Acceleration': '(-0.09265137, -0.1378174, 1.011841)', 'Roll': '5.231821', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.423734'}
2022-06-27 09:36:35: {'Acceleration': '(-0.08752441, -0.1384277, 1.004883)', 'Roll': '4.977849', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.814204'}
2022-06-27 09:36:36: {'Acceleration': '(-0.07775879, -0.1287842, 0.9820557)', 'Roll': '4.527212', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.447937'}
2022-06-27 09:36:36: {'Acceleration': '(-0.09191895, -0.1424561, 0.993042)', 'Roll': '5.511783', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.927526'}
2022-06-27 09:36:37: {'Acceleration': '(-0.08288574, -0.1367188, 0.9902344)', 'Roll': '4.784684', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.453524'}
2022-06-27 09:36:38: {'Acceleration': '(-0.0769043, -0.1445313, 0.9968262)', 'Roll': '4.411582', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.894954'}
