Testing SD card write operations: 2022-06-27 09:35:17
2022-06-27 09:35:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e92356274b6ab68561b32502fd5940e741237d6a4878fc7fb0194877b3183e4', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:34: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:35:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b517fffb6c9ebb00859e4e31d9b1018df21e221f5ddb5a0e082e7dbd21d6f461', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-27 09:35:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e92356274b6ab68561b32502fd5940e741237d6a4878fc7fb0194877b3183e4', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9127bf0add42f80bf4d6d5aae6466b692148fa47856b45ea86c6b66e47ff5198', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 09:35:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a577d954cff51fd7bf8ba90e3254ad3095fcb3a74e287f3fea9bd2a6451cf80', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:38: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:35:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:41: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:35:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a577d954cff51fd7bf8ba90e3254ad3095fcb3a74e287f3fea9bd2a6451cf80', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a577d954cff51fd7bf8ba90e3254ad3095fcb3a74e287f3fea9bd2a6451cf80', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f787ab40a33a23aae185170a8a6be3ecb0e466b208ad7e8f586ed13ca9ba81cc', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f787ab40a33a23aae185170a8a6be3ecb0e466b208ad7e8f586ed13ca9ba81cc', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1450d30866759ec26a644b2b7ad3ac2a16a13cf643ac3cdd068474707a6b42f8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a577d954cff51fd7bf8ba90e3254ad3095fcb3a74e287f3fea9bd2a6451cf80', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b517fffb6c9ebb00859e4e31d9b1018df21e221f5ddb5a0e082e7dbd21d6f461', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-27 09:35:49: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:35:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dfa926b5af5a0718d2ed98b1b30ef6095a4c00bf3e58be3f798c0e39feee2536', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-06-27 09:35:50: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:35:51: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:35:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e92356274b6ab68561b32502fd5940e741237d6a4878fc7fb0194877b3183e4', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96704e8ab06f7e268fee8bbd464a9c57c9be65d5d016a7e39c40c61bd893da08', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-06-27 09:35:53: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
