Testing SD card write operations: 2023-01-29 12:56:16
2023-01-29 12:56:34: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:35: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:36: {'name': None, 'adv_flag': None, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:36: {'name': None, 'adv_flag': None, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4deb801c3d72181e767304635813ca5fc658032dbbeacde56577fa3a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:37: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:38: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:39: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:39: {'name': None, 'adv_flag': None, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:40: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:41: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4deb801c3d72181e767304635813ca5fc658032dbbeacde56577fa3a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:42: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:43: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:43: {'name': None, 'adv_flag': 26, 'rssi': -96, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:44: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:45: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:46: {'name': None, 'adv_flag': None, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:47: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '07018889dd64b9ab79a3f36dab1e07a6b442c12dd52067f8b015b60b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:47: {'name': None, 'adv_flag': 26, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:48: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:49: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:50: {'name': None, 'adv_flag': None, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:50: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
