Testing SD card write operations 120: 2023-01-29 12:56:16
2023-01-29 12:56:21: {'ssid':'H110', 'bssid':'a071de1e263a6103ed381cc01b743d41fc3274ac64f3a3cdb320dfde96ed563b', 'sec':3, 'channel':6, 'rssi':-52}
2023-01-29 12:56:21: {'ssid':'H111', 'bssid':'59a6d6186b95fb597434ea364ff7831cce4c688e342b4ffaa34606f4d5c8abdb', 'sec':4, 'channel':6, 'rssi':-73}
2023-01-29 12:56:21: {'ssid':'H112', 'bssid':'1b5251655b028d29a0ec992d44346ec54497609a397c4234a70d539cb9a9ea62', 'sec':3, 'channel':1, 'rssi':-74}
2023-01-29 12:56:21: {'ssid':'H113', 'bssid':'e4bc0987f176d483629f48d5101efe02975272742f9906cbdb63ada580773a46', 'sec':4, 'channel':11, 'rssi':-74}
2023-01-29 12:56:21: {'ssid':'H117', 'bssid':'466f7281214a9e0d6ce91c88cfb387cbee1e0837f070ff9c232f26d9b0622c31', 'sec':3, 'channel':11, 'rssi':-80}
2023-01-29 12:56:21: {'ssid':'H116', 'bssid':'c52e1f71f12641e54f0ebe1aa9beeca75764065b0554949e4a69be8bda202b88', 'sec':4, 'channel':1, 'rssi':-83}
2023-01-29 12:56:21: {'ssid':'H115', 'bssid':'0e3af7721c86f38f70a3cd48515ca605eeb07162ca935fc4caa82c6f96d3209d', 'sec':4, 'channel':6, 'rssi':-83}
2023-01-29 12:56:21: {'ssid':'H118', 'bssid':'633a40bec8bdbb20269f6534cb75c5093f2f577a277337c20a9deb5e0ae20cc9', 'sec':3, 'channel':11, 'rssi':-84}
2023-01-29 12:56:21: {'ssid':'H114', 'bssid':'df3239ac0b5d1fbadc418445e5c1d6a8384612d748bb8bc06756f77a7e8add11', 'sec':4, 'channel':6, 'rssi':-85}
2023-01-29 12:56:21: {'ssid':'H1113', 'bssid':'0222bdf96b64cde98a07af6ecb1b108a38d90feea3e942c0c8437c5dd7d19813', 'sec':4, 'channel':1, 'rssi':-86}
2023-01-29 12:56:21: {'ssid':'H1128', 'bssid':'02ac923cef99763a720911170433a2ef38131200c37b81e709429922226f53fb', 'sec':3, 'channel':11, 'rssi':-88}
2023-01-29 12:56:21: {'ssid':'H1111', 'bssid':'3da366d789a27241e56057b423b3d81ab67ecf9121a8d0442c1dd2a6d14dbb2e', 'sec':3, 'channel':6, 'rssi':-89}
2023-01-29 12:56:21: {'ssid':'H1114', 'bssid':'4b41f48953cdc990e41984ea03c7d43b11780e5905ccb03f07cc244897435ab0', 'sec':3, 'channel':6, 'rssi':-89}
2023-01-29 12:56:21: {'ssid':'H119', 'bssid':'dabd536e77723b16c7b935df983de4a1ca635c8394ce8f03bd71f9194a61ee67', 'sec':5, 'channel':11, 'rssi':-91}
2023-01-29 12:56:21: {'ssid':'H119', 'bssid':'9d389ba5d776fc5aa9ceaa086de10219db75d3bb294bec2b47f51339743b7ef0', 'sec':5, 'channel':11, 'rssi':-92}
2023-01-29 12:56:21: {'ssid':'H1129', 'bssid':'3717eaa80b9a9b9029ee0f565373fef0a518004ec4fb81592ecdaf5b8fb58a63', 'sec':2, 'channel':1, 'rssi':-93}
