Testing SD card write operations: 2023-01-27 08:06:59
2023-01-27 08:07:17: {'name': None, 'adv_flag': 26, 'rssi': -67, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:18: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:18: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:19: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:20: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:21: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:21: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:22: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:23: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:24: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:25: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:25: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:26: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:27: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:28: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:28: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:29: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
