Testing SD card write operations: 2023-01-27 08:07:01
2023-01-27 08:07:28: {'Acceleration': '(-0.03637695, 0.03503418, 1.012695)', 'Roll': '2.057233', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.98008'}
2023-01-27 08:07:29: {'Acceleration': '(-0.04150391, 0.03491211, 1.018433)', 'Roll': '2.333668', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.961717'}
2023-01-27 08:07:30: {'Acceleration': '(-0.03674316, 0.03515625, 1.017578)', 'Roll': '2.067963', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.951865'}
2023-01-27 08:07:31: {'Acceleration': '(-0.04016113, 0.03356934, 1.016113)', 'Roll': '1.940321', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.891108'}
2023-01-27 08:07:31: {'Acceleration': '(-0.03515625, 0.03271484, 1.014282)', 'Roll': '1.985146', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.84628'}
2023-01-27 08:07:32: {'Acceleration': '(-0.03662109, 0.03442383, 1.020142)', 'Roll': '2.055924', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.013541'}
2023-01-27 08:07:33: {'Acceleration': '(-0.04040527, 0.03308105, 1.00708)', 'Roll': '2.297544', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.879892'}
2023-01-27 08:07:34: {'Acceleration': '(-0.03991699, 0.03527832, 1.009521)', 'Roll': '2.264325', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.999859'}
2023-01-27 08:07:35: {'Acceleration': '(-0.0390625, 0.03515625, 1.01709)', 'Roll': '2.199429', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.027'}
2023-01-27 08:07:36: {'Acceleration': '(-0.03918457, 0.03601074, 1.012329)', 'Roll': '2.133873', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.953115'}
2023-01-27 08:07:37: {'Acceleration': '(-0.03955078, 0.03625488, 1.019653)', 'Roll': '2.221301', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.034827'}
2023-01-27 08:07:37: {'Acceleration': '(-0.03942871, 0.0357666, 1.016357)', 'Roll': '2.221626', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.149853'}
2023-01-27 08:07:38: {'Acceleration': '(-0.03295898, 0.03710938, 1.026245)', 'Roll': '2.322726', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.069233'}
2023-01-27 08:07:39: {'Acceleration': '(-0.03881836, 0.03430176, 1.016479)', 'Roll': '2.187007', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.931343'}
2023-01-27 08:07:40: {'Acceleration': '(-0.0369873, 0.03417969, 1.02002)', 'Roll': '2.102788', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.971002'}
2023-01-27 08:07:41: {'Acceleration': '(-0.03845215, 0.03295898, 1.011963)', 'Roll': '2.176054', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.864083'}
2023-01-27 08:07:42: {'Acceleration': '(-0.04125977, 0.03491211, 1.014282)', 'Roll': '2.329438', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.969744'}
2023-01-27 08:07:42: {'Acceleration': '(-0.03625488, 0.03552246, 1.01062)', 'Roll': '1.954519', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.068991'}
2023-01-27 08:07:43: {'Acceleration': '(-0.03967285, 0.03356934, 1.015137)', 'Roll': '2.238054', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.892568'}
2023-01-27 08:07:44: {'Acceleration': '(-0.03649902, 0.03601074, 1.015015)', 'Roll': '2.059418', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.917359'}
2023-01-27 08:07:45: {'Acceleration': '(-0.03881836, 0.03344727, 1.020874)', 'Roll': '2.020238', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.875366'}
2023-01-27 08:07:46: {'Acceleration': '(-0.0357666, 0.03540039, 1.016968)', 'Roll': '2.014253', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.992416'}
2023-01-27 08:07:47: {'Acceleration': '(-0.03527832, 0.03564453, 1.018311)', 'Roll': '1.98416', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.063136'}
2023-01-27 08:07:48: {'Acceleration': '(-0.03820801, 0.03479004, 1.014648)', 'Roll': '2.156534', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.962386'}
2023-01-27 08:07:48: {'Acceleration': '(-0.03918457, 0.03369141, 1.014893)', 'Roll': '2.211067', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.899936'}
2023-01-27 08:07:49: {'Acceleration': '(-0.0402832, 0.03540039, 1.012085)', 'Roll': '2.279294', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.936951'}
2023-01-27 08:07:50: {'Acceleration': '(-0.03735352, 0.03417969, 1.012207)', 'Roll': '2.113429', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.932685'}
2023-01-27 08:07:51: {'Acceleration': '(-0.0378418, 0.03503418, 1.016235)', 'Roll': '2.132551', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.973093'}
2023-01-27 08:07:52: {'Acceleration': '(-0.03613281, 0.03491211, 1.020264)', 'Roll': '2.048619', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.074661'}
2023-01-27 08:07:53: {'Acceleration': '(-0.0333252, 0.0333252, 1.015747)', 'Roll': '1.879118', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.878108'}
2023-01-27 08:07:53: {'Acceleration': '(-0.03833008, 0.03527832, 1.015381)', 'Roll': '2.161858', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.855052'}
2023-01-27 08:07:54: {'Acceleration': '(-0.03674316, 0.03479004, 1.009521)', 'Roll': '2.084452', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.972436'}
2023-01-27 08:07:55: {'Acceleration': '(-0.03747559, 0.03625488, 1.015747)', 'Roll': '2.112947', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.935895'}
2023-01-27 08:07:56: {'Acceleration': '(-0.03674316, 0.03430176, 1.020142)', 'Roll': '2.1493', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.98324'}
2023-01-27 08:07:57: {'Acceleration': '(-0.0390625, 0.03466797, 1.011719)', 'Roll': '2.265646', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.975992'}
2023-01-27 08:07:58: {'Acceleration': '(-0.03942871, 0.03393555, 1.016724)', 'Roll': '2.220827', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.910237'}
2023-01-27 08:07:59: {'Acceleration': '(-0.03881836, 0.03369141, 1.020142)', 'Roll': '2.19994', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.949875'}
2023-01-27 08:07:59: {'Acceleration': '(-0.03491211, 0.03308105, 1.005981)', 'Roll': '1.987625', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.882324'}
2023-01-27 08:08:00: {'Acceleration': '(-0.03674316, 0.03527832, 1.014648)', 'Roll': '2.073929', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.884053'}
2023-01-27 08:08:01: {'Acceleration': '(-0.0369873, 0.0357666, 1.015747)', 'Roll': '2.117523', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.861238'}
2023-01-27 08:08:02: {'Acceleration': '(-0.0369873, 0.03515625, 1.017212)', 'Roll': '2.08244', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-2.024955'}
2023-01-27 08:08:03: {'Acceleration': '(-0.03710938, 0.03161621, 1.011841)', 'Roll': '2.102284', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.97053'}
2023-01-27 08:08:04: {'Acceleration': '(-0.04052734, 0.03417969, 1.014771)', 'Roll': '2.287032', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.927582'}
2023-01-27 08:08:04: {'Acceleration': '(-0.03735352, 0.03393555, 1.02002)', 'Roll': '2.094252', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.894808'}
2023-01-27 08:08:05: {'Acceleration': '(-0.03723145, 0.03515625, 1.010498)', 'Roll': '2.110088', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.991224'}
2023-01-27 08:08:06: {'Acceleration': '(-0.03527832, 0.03491211, 1.014648)', 'Roll': '1.991315', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.969471'}
2023-01-27 08:08:07: {'Acceleration': '(-0.03552246, 0.03747559, 1.016602)', 'Roll': '2.303524', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-2.109468'}
2023-01-27 08:08:08: {'Acceleration': '(-0.03771973, 0.03417969, 1.015381)', 'Roll': '2.127465', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.926631'}
2023-01-27 08:08:09: {'Acceleration': '(-0.03564453, 0.03295898, 1.008423)', 'Roll': '2.013664', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.977844'}
2023-01-27 08:08:10: {'Acceleration': '(-0.03466797, 0.03417969, 1.016479)', 'Roll': '1.953368', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.924758'}
2023-01-27 08:08:10: {'Acceleration': '(-0.03759766, 0.03479004, 1.015991)', 'Roll': '2.119314', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.973916'}
2023-01-27 08:08:11: {'Acceleration': '(-0.03393555, 0.03369141, 1.015137)', 'Roll': '1.914658', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.899833'}
2023-01-27 08:08:12: {'Acceleration': '(-0.03662109, 0.03295898, 1.017456)', 'Roll': '2.061346', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.789822'}
2023-01-27 08:08:13: {'Acceleration': '(-0.03918457, 0.03515625, 1.017822)', 'Roll': '2.083439', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.985941'}
2023-01-27 08:08:14: {'Acceleration': '(-0.03674316, 0.03271484, 1.015747)', 'Roll': '2.071688', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.843521'}
2023-01-27 08:08:15: {'Acceleration': '(-0.03381348, 0.03308105, 1.017944)', 'Roll': '2.009675', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.85671'}
2023-01-27 08:08:15: {'Acceleration': '(-0.03979492, 0.03723145, 1.015015)', 'Roll': '2.245203', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.099096'}
2023-01-27 08:08:16: {'Acceleration': '(-0.0369873, 0.03503418, 1.013916)', 'Roll': '2.095758', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.873096'}
2023-01-27 08:08:17: {'Acceleration': '(-0.04382324, 0.03491211, 1.012329)', 'Roll': '2.478759', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.973325'}
2023-01-27 08:08:18: {'Acceleration': '(-0.03613281, 0.03430176, 1.015747)', 'Roll': '2.037303', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.853901'}
2023-01-27 08:08:19: {'Acceleration': '(-0.03881836, 0.03503418, 1.018066)', 'Roll': '2.183601', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.969481'}
2023-01-27 08:08:20: {'Acceleration': '(-0.03503418, 0.03369141, 1.015381)', 'Roll': '1.97612', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.85186'}
