Testing SD card write operations: 2022-09-20 15:08:50
2022-09-20 15:09:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2acf4ecd3336142516e866c7bf65c0a50e0bab0220f5bb6e801bb8c3cfd9d122', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0edbc53a7129193a5cba5a5524dccce8b9831f3b163686b7f952ba7857f5331a', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e0d11fa8b77ba007018931fa586dbba45a248c21ef8a3a4a940e32672d7927df', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fd1f5f7f1c7317e111178a6c753cf7c2bb9eaec759cdf2f52c19e9426e2fba9b', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
