Testing SD card write operations: 2022-05-28 17:26:05
2022-05-28 17:26:32: {'Acceleration': '(0.6704102, 0.182373, 0.7044678)', 'Roll': '-44.32522', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-11.26638'}
2022-05-28 17:26:33: {'Acceleration': '(0.5783691, 0.1601563, 0.5874023)', 'Roll': '-44.55604', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-10.99457'}
2022-05-28 17:26:34: {'Acceleration': '(0.5714111, 0.2099609, 0.6866455)', 'Roll': '-39.76647', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-13.22664'}
2022-05-28 17:26:35: {'Acceleration': '(0.7410889, 0.1907959, 0.7103271)', 'Roll': '-45.42306', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-10.58059'}
2022-05-28 17:26:35: {'Acceleration': '(0.616333, 0.1968994, 0.762207)', 'Roll': '-37.9563', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-11.20279'}
2022-05-28 17:26:36: {'Acceleration': '(0.6949463, 0.1849365, 0.7402344)', 'Roll': '-46.43362', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-9.760289'}
2022-05-28 17:26:37: {'Acceleration': '(0.6853027, 0.2229004, 0.7342529)', 'Roll': '-43.02506', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-12.51283'}
2022-05-28 17:26:38: {'Acceleration': '(0.6790771, 0.2840576, 0.7164307)', 'Roll': '-43.46673', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-15.47232'}
2022-05-28 17:26:39: {'Acceleration': '(0.7041016, 0.2514648, 0.6829834)', 'Roll': '-45.87225', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.89065'}
2022-05-28 17:26:40: {'Acceleration': '(0.7120361, 0.1379395, 0.6469727)', 'Roll': '-48.47835', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-9.953022'}
2022-05-28 17:26:40: {'Acceleration': '(0.6896973, 0.1842041, 0.6876221)', 'Roll': '-45.08632', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-10.7103'}
2022-05-28 17:26:41: {'Acceleration': '(0.7391357, 0.2348633, 0.6933594)', 'Roll': '-46.8303', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-13.04783'}
2022-05-28 17:26:42: {'Acceleration': '(0.7561035, 0.1721191, 0.680542)', 'Roll': '-48.01075', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-9.028022'}
2022-05-28 17:26:43: {'Acceleration': '(0.6890869, 0.3106689, 0.6895752)', 'Roll': '-45.16349', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-17.76901'}
2022-05-28 17:26:44: {'Acceleration': '(0.5507813, 0.114624, 0.4069824)', 'Roll': '-52.10217', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-22.13187'}
2022-05-28 17:26:45: {'Acceleration': '(0.7261963, 0.1765137, 0.8857422)', 'Roll': '-39.34741', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-8.760872'}
2022-05-28 17:26:46: {'Acceleration': '(0.6680908, 0.2177734, 0.6773682)', 'Roll': '-44.60494', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-12.8927'}
2022-05-28 17:26:46: {'Acceleration': '(0.6843262, 0.1538086, 0.630127)', 'Roll': '-47.36115', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-9.739178'}
2022-05-28 17:26:47: {'Acceleration': '(0.6965332, 0.1512451, 0.6606445)', 'Roll': '-46.04446', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-12.80371'}
2022-05-28 17:26:48: {'Acceleration': '(0.670166, 0.1745605, 0.6954346)', 'Roll': '-43.93994', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-10.24524'}
2022-05-28 17:26:49: {'Acceleration': '(0.7126465, 0.2070313, 0.7225342)', 'Roll': '-44.60527', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-11.53023'}
2022-05-28 17:26:50: {'Acceleration': '(0.6866455, 0.2178955, 0.6442871)', 'Roll': '-46.82289', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-15.15906'}
2022-05-28 17:26:51: {'Acceleration': '(0.6459961, 0.2581787, 0.6756592)', 'Roll': '-42.41714', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.91155'}
2022-05-28 17:26:51: {'Acceleration': '(0.6517334, 0.2672119, 0.6652832)', 'Roll': '-44.41054', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.00909'}
2022-05-28 17:26:52: {'Acceleration': '(0.5953369, 0.2792969, 0.7452393)', 'Roll': '-38.61973', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.32075'}
2022-05-28 17:26:53: {'Acceleration': '(0.6647949, 0.2368164, 0.6838379)', 'Roll': '-44.19103', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.94494'}
2022-05-28 17:26:54: {'Acceleration': '(0.6544189, 0.2341309, 0.6066895)', 'Roll': '-46.87322', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.80725'}
2022-05-28 17:26:55: {'Acceleration': '(0.6246338, 0.2637939, 0.631958)', 'Roll': '-44.59857', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.09605'}
2022-05-28 17:26:56: {'Acceleration': '(0.7111816, 0.2611084, 0.7231445)', 'Roll': '-44.52214', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.43664'}
2022-05-28 17:26:56: {'Acceleration': '(0.6914063, 0.2436523, 0.6658936)', 'Roll': '-46.07684', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.94131'}
2022-05-28 17:26:57: {'Acceleration': '(0.6254883, 0.2458496, 0.7110596)', 'Roll': '-40.63447', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.91937'}
2022-05-28 17:26:58: {'Acceleration': '(0.6202393, 0.1088867, 0.68396)', 'Roll': '-41.85585', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-5.60945'}
2022-05-28 17:26:59: {'Acceleration': '(0.604126, 0.1033936, 0.6873779)', 'Roll': '-41.31174', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-6.446101'}
2022-05-28 17:27:00: {'Acceleration': '(0.6047363, 0.3217773, 0.6968994)', 'Roll': '-40.94989', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-20.88067'}
2022-05-28 17:27:01: {'Acceleration': '(0.6535645, 0.4295654, 0.6885986)', 'Roll': '-44.4017', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-24.80204'}
2022-05-28 17:27:02: {'Acceleration': '(0.6459961, 0.3980713, 0.6320801)', 'Roll': '-45.62383', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-23.77093'}
2022-05-28 17:27:02: {'Acceleration': '(0.6945801, 0.3751221, 0.6716309)', 'Roll': '-45.96235', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-21.21857'}
2022-05-28 17:27:03: {'Acceleration': '(0.6113281, 0.359375, 0.6650391)', 'Roll': '-42.59035', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-20.59849'}
2022-05-28 17:27:04: {'Acceleration': '(0.6291504, 0.3839111, 0.6795654)', 'Roll': '-43.0203', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.44218'}
2022-05-28 17:27:05: {'Acceleration': '(0.6759033, 0.4147949, 0.651123)', 'Roll': '-46.06979', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-23.84401'}
2022-05-28 17:27:06: {'Acceleration': '(0.6699219, 0.5197754, 0.5610352)', 'Roll': '-50.05505', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-30.74559'}
2022-05-28 17:27:07: {'Acceleration': '(0.6700439, 0.5780029, 0.588623)', 'Roll': '-48.29811', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-32.2747'}
2022-05-28 17:27:07: {'Acceleration': '(0.6278076, 0.4980469, 0.5881348)', 'Roll': '-46.86874', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-30.0687'}
2022-05-28 17:27:08: {'Acceleration': '(0.6087646, 0.3956299, 0.6859131)', 'Roll': '-41.58984', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-23.33501'}
2022-05-28 17:27:09: {'Acceleration': '(0.6466064, 0.1784668, 0.7702637)', 'Roll': '-40.01215', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-9.375664'}
