Testing SD card write operations: 2022-05-28 17:25:58
2022-05-28 17:26:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:21: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': 'db0ec5fefaec69cf13f02cdd6f6b4133fcab63419cb27e299bee1843', 'rssi': -84, 'name': 'Cb10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-05-28 17:26:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -47, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7fede5cf9700b4489a62f67b73ec4b809e0d680c5405dc1db9f82aae', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '61b6cd90053a9845edb65c131f4244e78db5fc541138fa80eb407044', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 17:26:27: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': 'db0ec5fefaec69cf13f02cdd6f6b4133fcab63419cb27e299bee1843', 'rssi': -89, 'name': 'Cb10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-05-28 17:26:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:26:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:26:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:26:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
