Testing SD card write operations: 2022-06-06 10:54:36
2022-06-06 11:00:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86ccc2b51a47f154a679403dc5586fa116eec0ec3ebb405381cf7b17727de1d6', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:00:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:00:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e68d78cff65a6aa64b895d5ef4fd02ba4a71b328daa0d90bd9bac47b655919f6', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:00:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86ccc2b51a47f154a679403dc5586fa116eec0ec3ebb405381cf7b17727de1d6', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-06 11:00:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86ccc2b51a47f154a679403dc5586fa116eec0ec3ebb405381cf7b17727de1d6', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-06 11:00:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6f10d3e1bb91cf2bb9956bd1441f107fd8bea3d9d16d9ad7f9de285fcd3a1309', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:00:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac0df14e2d854a2a7320f48d2102660bc3b6cdf625dc04026ccc200270982c1b', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-06 11:00:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e68d78cff65a6aa64b895d5ef4fd02ba4a71b328daa0d90bd9bac47b655919f6', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:00:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
