Testing SD card write operations: 2022-06-06 10:54:42
2022-06-06 11:00:26: {'Acceleration': '(0.1363525, -0.003173828, 1.052246)', 'Roll': '-7.383379', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.3536149'}
2022-06-06 11:00:27: {'Acceleration': '(0.190918, -0.0001220703, 0.901001)', 'Roll': '-11.96375', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.007593992'}
2022-06-06 11:00:28: {'Acceleration': '(0.2093506, -0.0201416, 0.9519043)', 'Roll': '-12.40349', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.183872'}
2022-06-06 11:00:28: {'Acceleration': '(0.1968994, 0.02380371, 0.9051514)', 'Roll': '-12.27247', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.47201'}
2022-06-06 11:00:29: {'Acceleration': '(0.1922607, 0.04296875, 1.126343)', 'Roll': '-9.686726', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.8842019'}
2022-06-06 11:00:30: {'Acceleration': '(0.206543, 0.001342773, 1.100708)', 'Roll': '-10.62771', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.986472'}
2022-06-06 11:00:31: {'Acceleration': '(0.1854248, 0.01721191, 1.105347)', 'Roll': '-10.75237', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.335725'}
2022-06-06 11:00:32: {'Acceleration': '(0.1951904, 0.08459473, 0.9633789)', 'Roll': '-8.390129', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.5602001'}
2022-06-06 11:00:33: {'Acceleration': '(0.2061768, 0.1286621, 0.9532471)', 'Roll': '-7.951723', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-6.745505'}
2022-06-06 11:00:34: {'Acceleration': '(0.2045898, 0.04345703, 0.9511719)', 'Roll': '-10.35824', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.449029'}
2022-06-06 11:00:34: {'Acceleration': '(0.1976318, 0.1171875, 0.9222412)', 'Roll': '-12.09527', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-7.08255'}
2022-06-06 11:00:35: {'Acceleration': '(0.189209, 0.09375, 1.046509)', 'Roll': '-10.24838', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-5.037848'}
2022-06-06 11:00:36: {'Acceleration': '(0.2005615, 0.137207, 0.9411621)', 'Roll': '-12.02978', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-8.114718'}
2022-06-06 11:00:37: {'Acceleration': '(0.3162842, 0.1473389, 0.9768066)', 'Roll': '-17.94164', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-6.977787'}
2022-06-06 11:00:38: {'Acceleration': '(0.2596436, 0.05737305, 0.9128418)', 'Roll': '-15.87757', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.227046'}
2022-06-06 11:00:39: {'Acceleration': '(0.2613525, 0.1008301, 0.9417725)', 'Roll': '-15.50994', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-6.098482'}
2022-06-06 11:00:40: {'Acceleration': '(0.3095703, 0.03759766, 0.9267578)', 'Roll': '-18.47116', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.203599'}
2022-06-06 11:00:41: {'Acceleration': '(0.3427734, 0.07861328, 0.9487305)', 'Roll': '-19.86463', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.456118'}
2022-06-06 11:00:41: {'Acceleration': '(0.3553467, 0.04821777, 0.9448242)', 'Roll': '-20.61119', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.734767'}
2022-06-06 11:00:42: {'Acceleration': '(0.3557129, 0.03967285, 0.8857422)', 'Roll': '-21.83927', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.615607'}
2022-06-06 11:00:43: {'Acceleration': '(0.3934326, -0.006103516, 0.928833)', 'Roll': '-23.29403', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.444586'}
2022-06-06 11:00:44: {'Acceleration': '(0.3479004, 0.03088379, 0.8798828)', 'Roll': '-21.57354', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.743726'}
2022-06-06 11:00:45: {'Acceleration': '(0.4023438, 0.01123047, 1.018555)', 'Roll': '-21.55473', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.8257166'}
2022-06-06 11:00:46: {'Acceleration': '(0.3994141, 0.05175781, 0.9505615)', 'Roll': '-22.79154', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.343552'}
2022-06-06 11:00:47: {'Acceleration': '(0.3861084, 0.0715332, 0.9737549)', 'Roll': '-21.62907', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.906593'}
2022-06-06 11:00:47: {'Acceleration': '(0.3865967, 0.01818848, 0.9337158)', 'Roll': '-22.49156', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.031096'}
2022-06-06 11:00:48: {'Acceleration': '(0.3818359, 0.04614258, 0.9095459)', 'Roll': '-22.77312', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.678153'}
2022-06-06 11:00:49: {'Acceleration': '(0.4221191, 0.04309082, 0.9382324)', 'Roll': '-22.52734', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.537323'}
2022-06-06 11:00:50: {'Acceleration': '(0.3703613, 0.03759766, 0.9366455)', 'Roll': '-21.51632', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.464603'}
2022-06-06 11:00:51: {'Acceleration': '(0.3392334, 0.04052734, 0.9562988)', 'Roll': '-19.14723', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.292606'}
2022-06-06 11:00:52: {'Acceleration': '(0.3520508, 0.03356934, 0.9616699)', 'Roll': '-20.10681', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.191411'}
2022-06-06 11:00:53: {'Acceleration': '(0.3503418, 0.0480957, 0.9488525)', 'Roll': '-20.2655', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.742395'}
2022-06-06 11:00:53: {'Acceleration': '(0.2927246, 0.03588867, 0.9667969)', 'Roll': '-16.74143', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.114149'}
2022-06-06 11:00:54: {'Acceleration': '(0.2823486, 0.02893066, 0.9654541)', 'Roll': '-16.30165', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.647438'}
2022-06-06 11:00:55: {'Acceleration': '(0.2355957, 0.03259277, 0.9724121)', 'Roll': '-13.61917', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.865751'}
2022-06-06 11:00:56: {'Acceleration': '(0.2279053, 0.03015137, 0.9904785)', 'Roll': '-12.958', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.699239'}
2022-06-06 11:00:57: {'Acceleration': '(0.2177734, 0.01879883, 0.9776611)', 'Roll': '-12.85583', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.706601'}
2022-06-06 11:00:58: {'Acceleration': '(0.2294922, 0.03442383, 0.9830322)', 'Roll': '-12.89741', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.955007'}
2022-06-06 11:00:59: {'Acceleration': '(0.21521, 0.03588867, 0.9840088)', 'Roll': '-12.33675', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.040569'}
2022-06-06 11:00:59: {'Acceleration': '(0.2050781, 0.03393555, 0.991333)', 'Roll': '-11.68797', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.033878'}
2022-06-06 11:01:00: {'Acceleration': '(0.2102051, 0.03442383, 0.9903564)', 'Roll': '-12.13966', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.8658'}
2022-06-06 11:01:01: {'Acceleration': '(0.244873, 0.03393555, 0.9641113)', 'Roll': '-14.25111', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.953921'}
2022-06-06 11:01:02: {'Acceleration': '(0.2406006, 0.0279541, 0.9797363)', 'Roll': '-13.79748', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.608298'}
2022-06-06 11:01:03: {'Acceleration': '(0.2354736, 0.02783203, 0.9781494)', 'Roll': '-13.53548', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.551037'}
2022-06-06 11:01:04: {'Acceleration': '(0.2390137, 0.03063965, 0.9833984)', 'Roll': '-13.66078', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.734129'}
2022-06-06 11:01:05: {'Acceleration': '(0.2348633, 0.02148438, 0.9790039)', 'Roll': '-13.49033', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.222487'}
2022-06-06 11:01:06: {'Acceleration': '(0.2353516, 0.03051758, 0.9819336)', 'Roll': '-13.47849', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.650284'}
2022-06-06 11:01:06: {'Acceleration': '(0.2376709, 0.02893066, 0.9857178)', 'Roll': '-13.5561', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.63433'}
2022-06-06 11:01:07: {'Acceleration': '(0.2337646, 0.02893066, 0.979248)', 'Roll': '-13.42629', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.646016'}
2022-06-06 11:01:08: {'Acceleration': '(0.2344971, 0.0300293, 0.9801025)', 'Roll': '-13.45551', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.576106'}
2022-06-06 11:01:09: {'Acceleration': '(0.2375488, 0.03308105, 0.9844971)', 'Roll': '-13.56557', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.870876'}
2022-06-06 11:01:10: {'Acceleration': '(0.2358398, 0.0291748, 0.9813232)', 'Roll': '-13.51352', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.655787'}
2022-06-06 11:01:11: {'Acceleration': '(0.237793, 0.03637695, 0.980835)', 'Roll': '-13.62781', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.064252'}
2022-06-06 11:01:12: {'Acceleration': '(0.2111816, 0.02587891, 0.9399414)', 'Roll': '-14.58815', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.346362'}
2022-06-06 11:01:12: {'Acceleration': '(0.2302246, 0.02246094, 0.9821777)', 'Roll': '-13.19209', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.275481'}
2022-06-06 11:01:13: {'Acceleration': '(0.2313232, 0.03015137, 0.9758301)', 'Roll': '-13.33596', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.722078'}
2022-06-06 11:01:14: {'Acceleration': '(0.2145996, 0.03930664, 0.9549561)', 'Roll': '-12.66522', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.299714'}
2022-06-06 11:01:15: {'Acceleration': '(0.1148682, 0.01013184, 1.014526)', 'Roll': '-6.459715', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.568548'}
2022-06-06 11:01:16: {'Acceleration': '(0.0501709, 0.008300781, 1.016968)', 'Roll': '-2.824329', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.6269367'}
2022-06-06 11:01:17: {'Acceleration': '(0.06079102, 0.002319336, 1.032593)', 'Roll': '-3.36924', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.128471'}
2022-06-06 11:01:18: {'Acceleration': '(0.05236816, -0.005004883, 1.03064)', 'Roll': '-2.908773', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '0.277873'}
2022-06-06 11:01:18: {'Acceleration': '(0.05407715, -0.01367188, 1.032227)', 'Roll': '-3.478163', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.5473893'}
2022-06-06 11:01:19: {'Acceleration': '(0.04675293, 0.004272461, 0.993042)', 'Roll': '-2.695524', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.2462349'}
2022-06-06 11:01:20: {'Acceleration': '(0.06201172, -0.003051758, 1.07373)', 'Roll': '-3.305362', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.1625748'}
2022-06-06 11:01:21: {'Acceleration': '(0.0513916, 0.009399414, 1.059814)', 'Roll': '-2.896024', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.666445'}
2022-06-06 11:01:22: {'Acceleration': '(0.05078125, 0.005859375, 0.9854736)', 'Roll': '-2.94983', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.3402107'}
2022-06-06 11:01:23: {'Acceleration': '(0.04968262, 0.02832031, 1.027832)', 'Roll': '-2.767369', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.576457'}
2022-06-06 11:01:24: {'Acceleration': '(0.06079102, 0.01843262, 1.051025)', 'Roll': '-3.080769', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.4858456'}
2022-06-06 11:01:24: {'Acceleration': '(0.06591797, 0.01269531, 1.021118)', 'Roll': '-3.693586', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.7108283'}
2022-06-06 11:01:25: {'Acceleration': '(0.09570313, -0.008789063, 1.047607)', 'Roll': '-5.21971', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.48713'}
2022-06-06 11:01:26: {'Acceleration': '(0.09387207, 0.01306152, 1.031006)', 'Roll': '-5.20238', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.7228356'}
2022-06-06 11:01:27: {'Acceleration': '(0.09301758, 0.0201416, 1.002563)', 'Roll': '-5.300712', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.146003'}
2022-06-06 11:01:28: {'Acceleration': '(0.1040039, 0.01428223, 1.005005)', 'Roll': '-5.908278', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.5604875'}
2022-06-06 11:01:29: {'Acceleration': '(0.130249, 0.03186035, 1.069336)', 'Roll': '-6.944626', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.694082'}
2022-06-06 11:01:30: {'Acceleration': '(0.1837158, 0.02954102, 0.9501953)', 'Roll': '-10.94285', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.661893'}
2022-06-06 11:01:31: {'Acceleration': '(0.1593018, 0.05834961, 0.9880371)', 'Roll': '-9.159007', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.934235'}
2022-06-06 11:01:31: {'Acceleration': '(0.2163086, 0.06738281, 1.139282)', 'Roll': '-8.00802', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.400347'}
2022-06-06 11:01:32: {'Acceleration': '(0.1816406, 0.07971191, 0.9681396)', 'Roll': '-10.6262', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-4.626475'}
2022-06-06 11:01:33: {'Acceleration': '(0.1601563, 0.1451416, 0.9068604)', 'Roll': '-10.61831', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-6.505485'}
2022-06-06 11:01:34: {'Acceleration': '(0.2055664, 0.1329346, 1.049072)', 'Roll': '-11.08667', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-7.088426'}
2022-06-06 11:01:35: {'Acceleration': '(0.1638184, 0.1691895, 0.9628906)', 'Roll': '-9.655387', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-9.827309'}
2022-06-06 11:01:36: {'Acceleration': '(0.2038574, 0.1391602, 0.9732666)', 'Roll': '-12.62617', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-8.588445'}
2022-06-06 11:01:37: {'Acceleration': '(0.2772217, 0.1461182, 0.963623)', 'Roll': '-16.04983', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-8.290993'}
2022-06-06 11:01:38: {'Acceleration': '(0.2254639, 0.1190186, 1.056763)', 'Roll': '-12.04367', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-3.842536'}
2022-06-06 11:01:38: {'Acceleration': '(0.2336426, 0.1047363, 0.8826904)', 'Roll': '-14.82583', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-6.543543'}
2022-06-06 11:01:39: {'Acceleration': '(0.2836914, 0.08557129, 0.9367676)', 'Roll': '-16.84845', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.03759'}
2022-06-06 11:01:40: {'Acceleration': '(0.3835449, 0.09277344, 1.002686)', 'Roll': '-21.90293', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.014652'}
2022-06-06 11:01:41: {'Acceleration': '(0.2653809, -0.008911133, 1.064331)', 'Roll': '-14.00067', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '0.9427546'}
2022-06-06 11:01:42: {'Acceleration': '(0.3044434, -0.04626465, 0.9367676)', 'Roll': '-17.63806', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.847669'}
2022-06-06 11:01:43: {'Acceleration': '(0.3345947, -0.01843262, 0.9747314)', 'Roll': '-18.94574', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.024684'}
2022-06-06 11:01:44: {'Acceleration': '(0.4061279, -0.01843262, 0.9494629)', 'Roll': '-23.65589', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.082167'}
2022-06-06 11:01:44: {'Acceleration': '(0.3205566, -0.02990723, 1.014526)', 'Roll': '-16.45036', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.321521'}
2022-06-06 11:01:45: {'Acceleration': '(0.3475342, -0.1203613, 1.030029)', 'Roll': '-18.64451', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.318053'}
2022-06-06 11:01:46: {'Acceleration': '(0.4034424, -0.07141113, 0.9815674)', 'Roll': '-19.73483', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.621083'}
2022-06-06 11:01:47: {'Acceleration': '(0.2906494, -0.04150391, 1.032349)', 'Roll': '-15.72413', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.216177'}
2022-06-06 11:01:48: {'Acceleration': '(0.3322754, -0.01708984, 1.080933)', 'Roll': '-17.08727', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.573391'}
2022-06-06 11:01:49: {'Acceleration': '(0.3666992, 0.01574707, 0.9819336)', 'Roll': '-20.29052', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.1554999'}
2022-06-06 11:01:50: {'Acceleration': '(0.3514404, 0.03027344, 0.8900146)', 'Roll': '-21.54759', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.812083'}
2022-06-06 11:01:51: {'Acceleration': '(0.4140625, -0.00769043, 1.030029)', 'Roll': '-22.56874', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.3950171'}
2022-06-06 11:01:51: {'Acceleration': '(0.392334, 0.03088379, 1.076172)', 'Roll': '-20.03006', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.544433'}
2022-06-06 11:01:52: {'Acceleration': '(0.3238525, 0.07373047, 0.9677734)', 'Roll': '-18.50213', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-6.432932'}
2022-06-06 11:01:53: {'Acceleration': '(0.4030762, 0.1005859, 0.8753662)', 'Roll': '-24.72445', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-5.958597'}
2022-06-06 11:01:54: {'Acceleration': '(0.3614502, 0.05993652, 1.050415)', 'Roll': '-20.54651', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-3.155321'}
2022-06-06 11:01:55: {'Acceleration': '(0.3590088, 0.003417969, 0.951416)', 'Roll': '-21.87995', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.329999'}
2022-06-06 11:01:56: {'Acceleration': '(0.3820801, 0.03466797, 0.8532715)', 'Roll': '-24.122', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.565015'}
2022-06-06 11:01:57: {'Acceleration': '(0.361084, 0.04296875, 0.868042)', 'Roll': '-21.28977', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.419346'}
