Testing SD card write operations: 2022-09-11 16:46:45
2022-09-11 16:47:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:47:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
