Testing SD card write operations: 2022-09-11 16:46:45
2022-09-11 16:47:38: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-49}
2022-09-11 16:47:40: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-11 16:47:42: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-54}
2022-09-11 16:47:42: {'ssid':'BS31', 'bssid':'5ce22e7a34632b3270c5ee31747d2eadb5892b34db40c906dc48702f', 'sec':5, 'channel':1, 'rssi':-95}
2022-09-11 16:47:44: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-55}
2022-09-11 16:47:46: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-55}
2022-09-11 16:47:47: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-11 16:47:49: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-11 16:47:51: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-49}
2022-09-11 16:47:53: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-11 16:47:55: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-52}
2022-09-11 16:47:57: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-11 16:47:59: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-54}
2022-09-11 16:48:00: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-56}
2022-09-11 16:48:02: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-55}
2022-09-11 16:48:04: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-55}
2022-09-11 16:48:06: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-11 16:48:08: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-61}
2022-09-11 16:48:10: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-56}
2022-09-11 16:48:12: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-52}
2022-09-11 16:48:13: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-11 16:48:15: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-11 16:48:17: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-11 16:48:19: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-46}
2022-09-11 16:48:21: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-53}
2022-09-11 16:48:23: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-52}
2022-09-11 16:48:24: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-53}
2022-09-11 16:48:26: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-54}
2022-09-11 16:48:28: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-56}
2022-09-11 16:48:30: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-57}
2022-09-11 16:48:32: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-57}
2022-09-11 16:48:34: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-11 16:48:36: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-11 16:48:37: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-56}
2022-09-11 16:48:39: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-56}
2022-09-11 16:48:41: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-11 16:48:43: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-59}
2022-09-11 16:48:45: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-54}
2022-09-11 16:48:47: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-61}
2022-09-11 16:48:49: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-11 16:48:50: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-61}
2022-09-11 16:48:52: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-69}
2022-09-11 16:48:54: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-63}
2022-09-11 16:48:56: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-57}
2022-09-11 16:48:58: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-52}
2022-09-11 16:49:00: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-55}
2022-09-11 16:49:02: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-52}
