Testing SD card write operations: 2022-09-11 16:47:24
2022-09-11 16:47:53: {'Acceleration': '(-0.3040771, -0.2075195, 0.9472656)', 'Roll': '17.7969', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.78231'}
2022-09-11 16:47:54: {'Acceleration': '(-0.3048096, -0.208374, 0.947998)', 'Roll': '17.82414', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.82016'}
2022-09-11 16:47:55: {'Acceleration': '(-0.3126221, -0.2156982, 0.939209)', 'Roll': '18.41037', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.19084'}
2022-09-11 16:47:55: {'Acceleration': '(-0.3045654, -0.2131348, 0.9477539)', 'Roll': '17.81507', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.08462'}
2022-09-11 16:47:56: {'Acceleration': '(-0.2838135, -0.2108154, 0.9567871)', 'Roll': '16.52203', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.92777'}
2022-09-11 16:47:57: {'Acceleration': '(-0.2928467, -0.2368164, 0.9417725)', 'Roll': '17.27322', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '13.39952'}
2022-09-11 16:47:58: {'Acceleration': '(-0.2946777, -0.2341309, 0.949707)', 'Roll': '17.23822', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '13.24929'}
2022-09-11 16:47:59: {'Acceleration': '(-0.2976074, -0.2003174, 0.9477539)', 'Roll': '17.43299', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.40091'}
2022-09-11 16:48:00: {'Acceleration': '(-0.2280273, -0.1533203, 0.9489746)', 'Roll': '14.65234', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.4719'}
2022-09-11 16:48:01: {'Acceleration': '(-0.3455811, -0.2539063, 0.9283447)', 'Roll': '20.41804', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.37657'}
2022-09-11 16:48:01: {'Acceleration': '(-0.2889404, -0.2260742, 0.9498291)', 'Roll': '16.91989', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.82823'}
2022-09-11 16:48:02: {'Acceleration': '(-0.3321533, -0.2548828, 0.9300537)', 'Roll': '19.65335', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.47149'}
2022-09-11 16:48:03: {'Acceleration': '(-0.4578857, -0.2332764, 0.887207)', 'Roll': '27.29816', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '13.40165'}
2022-09-11 16:48:04: {'Acceleration': '(-0.4069824, -0.2058105, 0.9824219)', 'Roll': '22.72609', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '11.32505'}
2022-09-11 16:48:05: {'Acceleration': '(-0.3881836, -0.1994629, 0.9123535)', 'Roll': '23.04854', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '11.37451'}
2022-09-11 16:48:06: {'Acceleration': '(-0.2763672, -0.2297363, 0.9516602)', 'Roll': '16.19358', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '13.25476'}
2022-09-11 16:48:07: {'Acceleration': '(-0.2723389, -0.2189941, 0.9588623)', 'Roll': '15.80226', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.5269'}
2022-09-11 16:48:08: {'Acceleration': '(-0.2264404, -0.1845703, 0.8930664)', 'Roll': '14.22773', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.32817'}
2022-09-11 16:48:08: {'Acceleration': '(-0.3615723, -0.2702637, 0.9174805)', 'Roll': '21.50903', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.74695'}
2022-09-11 16:48:09: {'Acceleration': '(0.112915, -0.2348633, 0.675415)', 'Roll': '-5.270057', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '14.06966'}
2022-09-11 16:48:10: {'Acceleration': '(-0.1256104, -0.3406982, 0.9245605)', 'Roll': '7.736807', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '20.05931'}
2022-09-11 16:48:11: {'Acceleration': '(-0.06481934, -0.3088379, 0.963623)', 'Roll': '3.848277', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '18.07056'}
2022-09-11 16:48:12: {'Acceleration': '(-0.1052246, -0.3143311, 0.9488525)', 'Roll': '6.707304', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.76405'}
2022-09-11 16:48:13: {'Acceleration': '(-0.1022949, -0.3374023, 0.9509277)', 'Roll': '6.139914', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '19.53651'}
2022-09-11 16:48:14: {'Acceleration': '(-0.06018066, -0.3398438, 0.9536133)', 'Roll': '3.589952', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '19.98432'}
2022-09-11 16:48:14: {'Acceleration': '(-0.05285645, -0.3239746, 0.9642334)', 'Roll': '2.435724', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '18.11882'}
2022-09-11 16:48:15: {'Acceleration': '(-0.002197266, -0.3212891, 0.9373779)', 'Roll': '0.1343042', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '18.08798'}
2022-09-11 16:48:16: {'Acceleration': '(-0.03417969, -0.3106689, 0.9594727)', 'Roll': '2.065439', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.67797'}
2022-09-11 16:48:17: {'Acceleration': '(0.06567383, -0.1934814, 0.7797852)', 'Roll': '-4.814114', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '12.89915'}
2022-09-11 16:48:18: {'Acceleration': '(0.04077148, -0.371582, 0.9501953)', 'Roll': '-2.45697', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '20.33965'}
2022-09-11 16:48:19: {'Acceleration': '(-0.01647949, -0.2893066, 1.036011)', 'Roll': '0.7560687', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.48052'}
2022-09-11 16:48:20: {'Acceleration': '(-0.1506348, -0.3884277, 0.914917)', 'Roll': '9.349477', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.70978'}
2022-09-11 16:48:21: {'Acceleration': '(-0.09619141, -0.3887939, 0.928833)', 'Roll': '5.955895', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.49608'}
2022-09-11 16:48:21: {'Acceleration': '(-0.1000977, -0.3865967, 0.935791)', 'Roll': '6.105475', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.33186'}
2022-09-11 16:48:22: {'Acceleration': '(-0.09741211, -0.3846436, 0.9346924)', 'Roll': '5.977695', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.4613'}
2022-09-11 16:48:23: {'Acceleration': '(-0.1020508, -0.3850098, 0.9207764)', 'Roll': '6.32435', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.56735'}
2022-09-11 16:48:24: {'Acceleration': '(-0.1022949, -0.387085, 0.9321289)', 'Roll': '6.262767', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '22.43042'}
2022-09-11 16:48:25: {'Acceleration': '(-0.1036377, -0.3845215, 0.9309082)', 'Roll': '6.278337', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.33501'}
2022-09-11 16:48:26: {'Acceleration': '(-0.1097412, -0.3912354, 0.9294434)', 'Roll': '6.733849', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.68646'}
2022-09-11 16:48:27: {'Acceleration': '(-0.1083984, -0.3924561, 0.9274902)', 'Roll': '6.66608', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.81752'}
2022-09-11 16:48:27: {'Acceleration': '(-0.1031494, -0.3900146, 0.9332275)', 'Roll': '6.307287', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.55753'}
2022-09-11 16:48:28: {'Acceleration': '(0.03540039, -0.3747559, 0.9342041)', 'Roll': '-2.170107', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.1588'}
2022-09-11 16:48:29: {'Acceleration': '(0.00378418, -0.404541, 0.9267578)', 'Roll': '-0.180222', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.30625'}
2022-09-11 16:48:30: {'Acceleration': '(0.005859375, -0.3997803, 0.9268799)', 'Roll': '-0.3621968', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '23.10335'}
2022-09-11 16:48:31: {'Acceleration': '(0.002197266, -0.4066162, 0.9276123)', 'Roll': '-0.2268529', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.68037'}
2022-09-11 16:48:32: {'Acceleration': '(0.004272461, -0.4031982, 0.9248047)', 'Roll': '-0.2646961', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.55611'}
2022-09-11 16:48:33: {'Acceleration': '(-0.003295898, -0.4110107, 0.9255371)', 'Roll': '0.204654', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '23.89539'}
2022-09-11 16:48:34: {'Acceleration': '(-0.009643555, -0.3914795, 0.9350586)', 'Roll': '0.5908885', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.71643'}
2022-09-11 16:48:34: {'Acceleration': '(-0.01550293, -0.3990479, 0.9345703)', 'Roll': '0.9503521', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.08434'}
2022-09-11 16:48:35: {'Acceleration': '(-0.002075195, -0.3931885, 0.9372559)', 'Roll': '-0.1948064', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '22.79031'}
2022-09-11 16:48:36: {'Acceleration': '(-0.0111084, -0.3948975, 0.9321289)', 'Roll': '0.6827748', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '22.95854'}
