Testing SD card write operations: 2022-09-18 18:17:41
2022-09-18 18:18:08: {'Acceleration': '(-0.7866211, 0.02368164, 0.6387939)', 'Roll': '50.92087', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.10007'}
2022-09-18 18:18:09: {'Acceleration': '(-0.7923584, 0.06567383, 0.6586914)', 'Roll': '50.26309', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-3.289795'}
2022-09-18 18:18:10: {'Acceleration': '(-0.7905273, 0.06018066, 0.6636963)', 'Roll': '49.98447', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-3.348683'}
2022-09-18 18:18:10: {'Acceleration': '(-0.8057861, 0.04125977, 0.6402588)', 'Roll': '51.53017', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.295743'}
2022-09-18 18:18:11: {'Acceleration': '(-0.8205566, 0.1203613, 0.6224365)', 'Roll': '52.81772', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-6.952941'}
2022-09-18 18:18:12: {'Acceleration': '(-0.805542, 0.09277344, 0.6595459)', 'Roll': '50.69074', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-5.884363'}
2022-09-18 18:18:13: {'Acceleration': '(-0.8123779, 0.1473389, 0.6418457)', 'Roll': '51.68835', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-7.379811'}
2022-09-18 18:18:14: {'Acceleration': '(-0.8734131, -0.07678223, 0.6270752)', 'Roll': '54.32318', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.705883'}
2022-09-18 18:18:15: {'Acceleration': '(-0.7001953, -0.04846191, 0.6322021)', 'Roll': '47.9213', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.815523'}
2022-09-18 18:18:15: {'Acceleration': '(-0.8991699, -0.0501709, 0.5820313)', 'Roll': '57.08508', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '2.678142'}
2022-09-18 18:18:16: {'Acceleration': '(-0.8458252, -0.05944824, 0.6029053)', 'Roll': '54.51868', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.052305'}
2022-09-18 18:18:17: {'Acceleration': '(-0.8793945, -0.01574707, 0.5892334)', 'Roll': '56.17616', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.932578'}
2022-09-18 18:18:18: {'Acceleration': '(-0.8493652, -0.08911133, 0.5877686)', 'Roll': '55.31641', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.894206'}
2022-09-18 18:18:19: {'Acceleration': '(-0.8857422, -0.07202148, 0.5393066)', 'Roll': '58.66379', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.690339'}
2022-09-18 18:18:20: {'Acceleration': '(-0.8643799, -0.1115723, 0.5622559)', 'Roll': '56.95708', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.266292'}
2022-09-18 18:18:20: {'Acceleration': '(-0.8554688, -0.1080322, 0.5709229)', 'Roll': '56.28164', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.975185'}
2022-09-18 18:18:21: {'Acceleration': '(-0.8743896, -0.1101074, 0.5532227)', 'Roll': '57.48026', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.12868'}
2022-09-18 18:18:22: {'Acceleration': '(-0.8636475, -0.09545898, 0.5571289)', 'Roll': '57.17441', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.30647'}
2022-09-18 18:18:23: {'Acceleration': '(-0.8658447, -0.09375, 0.5621338)', 'Roll': '57.00709', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.189082'}
2022-09-18 18:18:24: {'Acceleration': '(-0.8648682, -0.08850098, 0.5656738)', 'Roll': '56.81299', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.894744'}
2022-09-18 18:18:25: {'Acceleration': '(-0.8592529, -0.09631348, 0.5806885)', 'Roll': '55.94893', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.305882'}
2022-09-18 18:18:25: {'Acceleration': '(-0.8624268, -0.09411621, 0.5599365)', 'Roll': '57.00607', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.229711'}
2022-09-18 18:18:26: {'Acceleration': '(-0.8605957, -0.09094238, 0.567627)', 'Roll': '56.59217', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.015038'}
2022-09-18 18:18:27: {'Acceleration': '(-0.8607178, -0.09020996, 0.5682373)', 'Roll': '56.5676', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.998709'}
2022-09-18 18:18:28: {'Acceleration': '(-0.8585205, -0.08654785, 0.5733643)', 'Roll': '56.26296', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.7921'}
2022-09-18 18:18:29: {'Acceleration': '(-0.8586426, -0.08752441, 0.5656738)', 'Roll': '56.6231', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.865377'}
2022-09-18 18:18:30: {'Acceleration': '(-0.8581543, -0.08740234, 0.5709229)', 'Roll': '56.36451', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.846941'}
2022-09-18 18:18:30: {'Acceleration': '(-0.8631592, -0.07446289, 0.5653076)', 'Roll': '56.77806', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.127752'}
2022-09-18 18:18:31: {'Acceleration': '(-0.8236084, -0.09191895, 0.6337891)', 'Roll': '52.42074', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.483276'}
2022-09-18 18:18:32: {'Acceleration': '(-0.8364258, -0.1226807, 0.6236572)', 'Roll': '53.29099', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.523477'}
2022-09-18 18:18:33: {'Acceleration': '(-0.8148193, -0.1265869, 0.6182861)', 'Roll': '52.80872', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.682789'}
2022-09-18 18:18:34: {'Acceleration': '(-0.8200684, -0.1022949, 0.6142578)', 'Roll': '53.1656', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.83853'}
2022-09-18 18:18:35: {'Acceleration': '(-0.8175049, -0.1190186, 0.6251221)', 'Roll': '52.59591', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.967645'}
2022-09-18 18:18:36: {'Acceleration': '(-0.8029785, -0.1356201, 0.6260986)', 'Roll': '52.01791', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.042669'}
2022-09-18 18:18:36: {'Acceleration': '(-0.831543, -0.1121826, 0.6047363)', 'Roll': '53.78591', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.468675'}
2022-09-18 18:18:37: {'Acceleration': '(-0.8155518, -0.1799316, 0.6075439)', 'Roll': '53.61946', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '10.43045'}
2022-09-18 18:18:38: {'Acceleration': '(-0.8597412, -0.1279297, 0.545166)', 'Roll': '58.11269', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.619591'}
2022-09-18 18:18:39: {'Acceleration': '(-0.998291, 0.02392578, 0.5708008)', 'Roll': '53.7822', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.278049'}
2022-09-18 18:18:40: {'Acceleration': '(-0.769165, -0.05773926, 0.6827393)', 'Roll': '48.84611', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.496481'}
2022-09-18 18:18:41: {'Acceleration': '(-0.7741699, -0.0592041, 0.6706543)', 'Roll': '49.098', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.308108'}
2022-09-18 18:18:41: {'Acceleration': '(-0.7803955, -0.07189941, 0.6695557)', 'Roll': '49.37141', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.999798'}
2022-09-18 18:18:42: {'Acceleration': '(-0.7731934, -0.0814209, 0.6939697)', 'Roll': '48.09084', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.481012'}
2022-09-18 18:18:43: {'Acceleration': '(-0.7923584, -0.05541992, 0.6604004)', 'Roll': '50.19009', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.075448'}
2022-09-18 18:18:44: {'Acceleration': '(-0.7529297, -0.1029053, 0.7147217)', 'Roll': '46.49127', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.660944'}
2022-09-18 18:18:45: {'Acceleration': '(-0.8892822, -0.2629395, 0.5455322)', 'Roll': '58.47286', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '14.14577'}
2022-09-18 18:18:46: {'Acceleration': '(-0.7769775, -0.2303467, 0.6191406)', 'Roll': '51.45013', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '13.08906'}
2022-09-18 18:18:46: {'Acceleration': '(-0.7984619, -0.1719971, 0.6330566)', 'Roll': '51.59103', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '9.073784'}
2022-09-18 18:18:47: {'Acceleration': '(-0.8018799, -0.1730957, 0.6326904)', 'Roll': '51.72624', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '9.578144'}
2022-09-18 18:18:48: {'Acceleration': '(-0.8060303, -0.1323242, 0.600708)', 'Roll': '53.30404', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.151182'}
2022-09-18 18:18:49: {'Acceleration': '(-0.8015137, -0.154541, 0.6311035)', 'Roll': '51.78347', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.685424'}
2022-09-18 18:18:50: {'Acceleration': '(-0.8165283, -0.1109619, 0.6451416)', 'Roll': '51.68763', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '6.046477'}
2022-09-18 18:18:51: {'Acceleration': '(-0.8322754, -0.1379395, 0.602417)', 'Roll': '54.09657', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.62594'}
2022-09-18 18:18:52: {'Acceleration': '(-0.8183594, -0.1542969, 0.6303711)', 'Roll': '52.53517', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.679907'}
2022-09-18 18:18:52: {'Acceleration': '(-0.8255615, -0.1331787, 0.614502)', 'Roll': '53.55032', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.421178'}
2022-09-18 18:18:53: {'Acceleration': '(-0.8187256, -0.1518555, 0.6251221)', 'Roll': '53.03895', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.067426'}
2022-09-18 18:18:54: {'Acceleration': '(-0.8172607, -0.130249, 0.6143799)', 'Roll': '53.82112', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.057695'}
2022-09-18 18:18:55: {'Acceleration': '(-0.8173828, -0.1453857, 0.6125488)', 'Roll': '52.92912', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.142194'}
2022-09-18 18:18:56: {'Acceleration': '(-0.8221436, -0.1303711, 0.618042)', 'Roll': '53.06618', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.223916'}
2022-09-18 18:18:57: {'Acceleration': '(-0.8287354, -0.1333008, 0.6229248)', 'Roll': '53.06939', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.326686'}
2022-09-18 18:18:57: {'Acceleration': '(-0.8220215, -0.1358643, 0.6105957)', 'Roll': '53.39512', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.557962'}
2022-09-18 18:18:58: {'Acceleration': '(-0.8249512, -0.1455078, 0.6124268)', 'Roll': '53.41057', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.040526'}
2022-09-18 18:18:59: {'Acceleration': '(-0.8165283, -0.1422119, 0.6192627)', 'Roll': '52.82298', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.924505'}
2022-09-18 18:19:00: {'Acceleration': '(-0.8140869, -0.1381836, 0.6184082)', 'Roll': '52.77845', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.897503'}
2022-09-18 18:19:00: {'Acceleration': '(-0.8195801, -0.1437988, 0.6313477)', 'Roll': '53.09841', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.007387'}
2022-09-18 18:19:01: {'Acceleration': '(-0.8369141, -0.1224365, 0.6064453)', 'Roll': '54.97707', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.171238'}
2022-09-18 18:19:02: {'Acceleration': '(-0.7950439, -0.0213623, 0.6766357)', 'Roll': '49.40818', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.176827'}
2022-09-18 18:19:03: {'Acceleration': '(-0.7868652, 0.01062012, 0.6557617)', 'Roll': '50.19268', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.594034'}
