Testing SD card write operations: 2022-07-08 06:08:26
2022-07-08 06:08:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3619162bc727', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3619162bc727', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3619162bc727', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
