Testing SD card write operations: 2022-05-22 10:49:13
2022-05-22 10:49:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'598dc9101cd9', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e076ed7e8f50', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'316e61088134', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'd10643d71e8f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f15a71781f84', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'0075cfbe0ef3', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
