Testing SD card write operations: 2022-07-03 15:18:18
2022-07-03 15:18:44: {'Acceleration': '(-0.3453369, -0.1821289, 0.9588623)', 'Roll': '19.80662', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.38801'}
2022-07-03 15:18:45: {'Acceleration': '(-0.34375, -0.1848145, 0.9471436)', 'Roll': '19.94752', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.39375'}
2022-07-03 15:18:46: {'Acceleration': '(-0.3355713, -0.184082, 0.9468994)', 'Roll': '19.51379', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.38361'}
2022-07-03 15:18:47: {'Acceleration': '(-0.3345947, -0.1766357, 0.9324951)', 'Roll': '19.73883', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.10919'}
2022-07-03 15:18:48: {'Acceleration': '(-0.3277588, -0.1759033, 0.9152832)', 'Roll': '19.70222', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.25578'}
2022-07-03 15:18:49: {'Acceleration': '(-0.331665, -0.182251, 0.9783936)', 'Roll': '18.72611', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '9.896287'}
2022-07-03 15:18:50: {'Acceleration': '(-0.3491211, -0.1799316, 0.9346924)', 'Roll': '20.48138', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.25151'}
2022-07-03 15:18:50: {'Acceleration': '(-0.3238525, -0.1872559, 0.940918)', 'Roll': '19.017', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.19818'}
2022-07-03 15:18:51: {'Acceleration': '(-0.3277588, -0.1868896, 0.954834)', 'Roll': '18.94543', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.48825'}
2022-07-03 15:18:52: {'Acceleration': '(-0.3331299, -0.1993408, 0.9779053)', 'Roll': '18.81175', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.92134'}
2022-07-03 15:18:53: {'Acceleration': '(-0.3342285, -0.19104, 0.975708)', 'Roll': '18.23256', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.17238'}
2022-07-03 15:18:54: {'Acceleration': '(-0.3269043, -0.1848145, 0.9509277)', 'Roll': '18.97164', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.41442'}
2022-07-03 15:18:55: {'Acceleration': '(-0.3106689, -0.1953125, 0.9199219)', 'Roll': '18.66046', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.37345'}
2022-07-03 15:18:56: {'Acceleration': '(-0.3082275, -0.1878662, 0.9078369)', 'Roll': '18.71634', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.87566'}
2022-07-03 15:18:56: {'Acceleration': '(-0.3338623, -0.1992188, 0.9541016)', 'Roll': '19.28613', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.14923'}
2022-07-03 15:18:57: {'Acceleration': '(-0.3271484, -0.2047119, 0.940918)', 'Roll': '19.17209', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.61257'}
2022-07-03 15:18:58: {'Acceleration': '(-0.3171387, -0.1986084, 0.9595947)', 'Roll': '17.74338', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.17634'}
2022-07-03 15:18:59: {'Acceleration': '(-0.3408203, -0.2164307, 0.9923096)', 'Roll': '18.95563', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.6555'}
2022-07-03 15:19:00: {'Acceleration': '(-0.3306885, -0.208374, 0.9934082)', 'Roll': '18.41171', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '11.25591'}
2022-07-03 15:19:01: {'Acceleration': '(-0.3208008, -0.1986084, 0.9835205)', 'Roll': '18.48187', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.14103'}
2022-07-03 15:19:02: {'Acceleration': '(-0.3157959, -0.1853027, 0.9528809)', 'Roll': '18.3358', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.45865'}
2022-07-03 15:19:03: {'Acceleration': '(-0.3103027, -0.1929932, 0.9450684)', 'Roll': '18.17702', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.98011'}
2022-07-03 15:19:03: {'Acceleration': '(-0.3151855, -0.1827393, 0.9345703)', 'Roll': '18.28305', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.60475'}
2022-07-03 15:19:04: {'Acceleration': '(-0.3214111, -0.189209, 0.953125)', 'Roll': '18.63504', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.65324'}
2022-07-03 15:19:05: {'Acceleration': '(-0.3187256, -0.1868896, 0.9571533)', 'Roll': '18.41741', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.20874'}
2022-07-03 15:19:06: {'Acceleration': '(-0.3175049, -0.1867676, 0.9569092)', 'Roll': '18.40469', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.865424'}
2022-07-03 15:19:07: {'Acceleration': '(-0.3209229, -0.1860352, 0.9571533)', 'Roll': '18.53573', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.44135'}
