Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:16:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'dcaa8e80efad007be9ea72364ae91fb80785cbced3a1f9722962e202', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5dcc6f2dc75ef5c4007c2ae2527e2cb73817d9f6b42cd649afe1a5d8', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ca329146901ed2e7a7939f0e38d8bde00ac21950e44f369345a0f68a', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ca329146901ed2e7a7939f0e38d8bde00ac21950e44f369345a0f68a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'dcaa8e80efad007be9ea72364ae91fb80785cbced3a1f9722962e202', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '476fe453e5213a64e14fe8179c6824d4ccca6f4893562613fa92b75e', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
