Testing SD card write operations: 2022-09-11 17:00:49
2022-09-11 17:01:18: {'Acceleration': '(-0.09033203, -0.1262207, 0.9987793)', 'Roll': '5.167909', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.173598'}
2022-09-11 17:01:19: {'Acceleration': '(-0.07922363, -0.1342773, 0.9512939)', 'Roll': '4.496376', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '8.206367'}
2022-09-11 17:01:19: {'Acceleration': '(-0.07080078, -0.1813965, 1.034546)', 'Roll': '3.915022', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '7.61093'}
2022-09-11 17:01:20: {'Acceleration': '(-0.08227539, -0.1943359, 0.9630127)', 'Roll': '4.183154', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '11.37946'}
2022-09-11 17:01:21: {'Acceleration': '(-0.08605957, -0.1608887, 0.9591064)', 'Roll': '5.127356', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '6.801251'}
2022-09-11 17:01:22: {'Acceleration': '(0.03356934, -0.1087646, 0.949585)', 'Roll': '-2.024654', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.53009'}
2022-09-11 17:01:23: {'Acceleration': '(-0.06311035, -0.1875, 1.029541)', 'Roll': '3.401406', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.08632'}
2022-09-11 17:01:24: {'Acceleration': '(0.0291748, -0.2397461, 1.070801)', 'Roll': '-1.560682', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.61553'}
2022-09-11 17:01:25: {'Acceleration': '(0.0078125, -0.12854, 0.9700928)', 'Roll': '-0.4614131', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.547643'}
2022-09-11 17:01:26: {'Acceleration': '(0.008666992, -0.2437744, 0.954834)', 'Roll': '-0.47695', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.506807'}
2022-09-11 17:01:26: {'Acceleration': '(-0.02331543, -0.1362305, 1.010376)', 'Roll': '1.321922', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.676944'}
2022-09-11 17:01:27: {'Acceleration': '(-0.0177002, -0.1113281, 0.9620361)', 'Roll': '1.054048', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.599877'}
2022-09-11 17:01:28: {'Acceleration': '(-0.237915, -0.1582031, 1.097778)', 'Roll': '12.22827', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.016943'}
2022-09-11 17:01:29: {'Acceleration': '(-0.1021729, -0.1085205, 1.023926)', 'Roll': '7.669347', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.380678'}
2022-09-11 17:01:30: {'Acceleration': '(-0.1026611, -0.08654785, 1.039429)', 'Roll': '5.640632', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.736802'}
