Testing SD card write operations: 2022-09-11 17:00:44
2022-09-11 17:01:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '09c59e5c43fcf0ce7141e6969c96681c32c53d14aa8593ac5171e5d615c06a23', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:01:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '50387ae5f7d25d7f70765d25e32c1ebef71fdeec560c370bfb106e3245adc03e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-11 17:01:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
