Testing SD card write operations: 2022-07-07 16:03:57
2022-07-07 16:04:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e955c1caaa9b4d4f47b72b1c240f1d09de0724cde4bff66aefcc78d67eabfdf', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:16: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '3c04aaa03f16640d5a6da4a9ac54a0d35e9478e98f6e0a002aac9e26c35c4a1f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c8c10cdaadbfb7b439e635005e877b77db4874624adac80b3d50f9b8a1699ab', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '63060931d8eb94a5af4e2e99ef2ecd4aca5331613b236385baf196dcab60c60a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '502635b84af12a178a7b3222e8ef632f90d48307f0534e8b14f69f9c155a74c4', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5edef026a5a04a768a68e3eb55f42442ad0f9013216c0eb83887aa4bbc12006e', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fe24010741effcb14ddc4d8294bdbeb4f3f76cd8d7e8b44c70c548f71f3b7159', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b0ea5bf0387ae3a66b830e1382d1e323bd9d60bb87876b461bcb1a33bd3bf15b', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e955c1caaa9b4d4f47b72b1c240f1d09de0724cde4bff66aefcc78d67eabfdf', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9668b38870697ad1090923560739aa32eb590a2f7a78509cbda9bc4b97733d4d', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 16:04:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8a94e387e6e2ba769fa35eb4c0845919e23ef2c4b2d7264576d462f0584312cd', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
