Testing SD card write operations: 2022-05-25 18:26:53
2022-05-25 18:28:15: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-37}
2022-05-25 18:28:15: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:28:17: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-47}
2022-05-25 18:28:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:19: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-47}
2022-05-25 18:28:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:21: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-44}
2022-05-25 18:28:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:28:23: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-38}
2022-05-25 18:28:23: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:25: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-25 18:28:25: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:28:27: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-25 18:28:27: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-58}
2022-05-25 18:28:29: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-44}
2022-05-25 18:28:29: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-60}
2022-05-25 18:28:30: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-25 18:28:30: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-61}
2022-05-25 18:28:32: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-47}
2022-05-25 18:28:32: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-61}
2022-05-25 18:28:34: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-25 18:28:36: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-45}
