Testing SD card write operations: 2022-05-25 18:27:14
2022-05-25 18:27:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cd1c6e16613c7321cc8cbb6fd784f1e55e93068cff5438117d503adfe451e619', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e22fc4ac43fb52231ed926fe48881fcab52c67b6b08f8a651bc2e62fd69763fb', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd9941a33482e4efda529eaf6b2481786134ca9e127fb670882998686cd47ad05', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e22fc4ac43fb52231ed926fe48881fcab52c67b6b08f8a651bc2e62fd69763fb', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '87bdcfd2ef63c31ff34a2d3e059642144bce06f287095f08145c70ed3058c091', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd394dc908b0a2aabdd7eb4ba3674f001b68a34f6b7fe5d7b1269616a173ddc94', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 18:27:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e22fc4ac43fb52231ed926fe48881fcab52c67b6b08f8a651bc2e62fd69763fb', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '595e893eb2774f54bec98bd9fe57058d42eaeb2e1ec6ea4bb0c14f16e8fcdd9c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 18:27:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '27f98254037e20b8be5dd9f25e00298c3f71b94d0eaf020a3aba5a2916932842', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:27:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4605fba4f00b971ac410a237f204a34865d56aecfeea820dcd64d66c85010fec', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 18:27:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '554af5902cb4b7a27177af78082689a5960ad59910f6d3693da99223ba681e82', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-25 18:27:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4605fba4f00b971ac410a237f204a34865d56aecfeea820dcd64d66c85010fec', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 18:27:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e22fc4ac43fb52231ed926fe48881fcab52c67b6b08f8a651bc2e62fd69763fb', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
