Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:58:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5acaf01afbb9', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7fe37e2a4e66', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-30 13:58:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7fe37e2a4e66', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-30 13:58:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65c2e158e8c2', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:58:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e104d0c0d7f', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'd64d4283b614', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7fe37e2a4e66', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-30 13:58:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7736015ad6d6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 13:58:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5bd2859d3637', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 13:58:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5acaf01afbb9', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65c2e158e8c2', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5acaf01afbb9', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:59:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5acaf01afbb9', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:59:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'd86f3566b390', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ed0dedbedb7', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e501bbada0f3', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65c2e158e8c2', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:10: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'41532f2f3253', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5bd2859d3637', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 13:59:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
