Testing SD card write operations: 1970-01-01 02:00:06
2023-01-26 22:01:16: {'Acceleration': '(0.2747803, 0.8023682, 0.5249023)', 'Roll': '-27.74143', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.70704'}
2023-01-26 22:01:17: {'Acceleration': '(0.2749023, 0.8029785, 0.5227051)', 'Roll': '-27.74089', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.66573'}
2023-01-26 22:01:18: {'Acceleration': '(0.2796631, 0.8031006, 0.5231934)', 'Roll': '-28.05305', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.56542'}
2023-01-26 22:01:18: {'Acceleration': '(0.2751465, 0.8032227, 0.5233154)', 'Roll': '-27.53231', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.66765'}
2023-01-26 22:01:19: {'Acceleration': '(0.274292, 0.8051758, 0.5227051)', 'Roll': '-27.68846', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.80862'}
2023-01-26 22:01:20: {'Acceleration': '(0.27771, 0.8029785, 0.5200195)', 'Roll': '-28.10389', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.71476'}
2023-01-26 22:01:21: {'Acceleration': '(0.2720947, 0.8040771, 0.5245361)', 'Roll': '-28.14647', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.7458'}
2023-01-26 22:01:22: {'Acceleration': '(0.2766113, 0.8039551, 0.5230713)', 'Roll': '-27.87085', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.60637'}
2023-01-26 22:01:23: {'Acceleration': '(0.2779541, 0.8054199, 0.5235596)', 'Roll': '-27.96352', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.64793'}
2023-01-26 22:01:24: {'Acceleration': '(0.2752686, 0.8013916, 0.5178223)', 'Roll': '-27.98953', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.50619'}
2023-01-26 22:01:24: {'Acceleration': '(0.2758789, 0.8026123, 0.5233154)', 'Roll': '-27.79709', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.69077'}
2023-01-26 22:01:25: {'Acceleration': '(0.2755127, 0.8045654, 0.5227051)', 'Roll': '-27.79327', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.70655'}
2023-01-26 22:01:26: {'Acceleration': '(0.2794189, 0.8034668, 0.5126953)', 'Roll': '-28.14678', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-54.10728'}
2023-01-26 22:01:27: {'Acceleration': '(0.2758789, 0.8049316, 0.5267334)', 'Roll': '-27.64349', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.55541'}
2023-01-26 22:01:28: {'Acceleration': '(0.2774658, 0.8024902, 0.5234375)', 'Roll': '-27.92734', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.49494'}
2023-01-26 22:01:29: {'Acceleration': '(0.27771, 0.8010254, 0.5256348)', 'Roll': '-27.84895', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.41877'}
2023-01-26 22:01:30: {'Acceleration': '(0.2744141, 0.8032227, 0.5241699)', 'Roll': '-27.63301', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.78431'}
2023-01-26 22:01:30: {'Acceleration': '(0.2740479, 0.8041992, 0.5241699)', 'Roll': '-27.60158', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.65955'}
2023-01-26 22:01:31: {'Acceleration': '(0.2729492, 0.8045654, 0.5280762)', 'Roll': '-27.3333', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.5415'}
2023-01-26 22:01:32: {'Acceleration': '(0.2749023, 0.8050537, 0.5227051)', 'Roll': '-27.65295', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.5306'}
2023-01-26 22:01:33: {'Acceleration': '(0.2753906, 0.8056641, 0.5240479)', 'Roll': '-27.72222', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.64107'}
2023-01-26 22:01:34: {'Acceleration': '(0.2700195, 0.8068848, 0.5195313)', 'Roll': '-27.46256', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-54.03371'}
2023-01-26 22:01:35: {'Acceleration': '(0.2819824, 0.8049316, 0.5262451)', 'Roll': '-28.06271', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.94887'}
2023-01-26 22:01:36: {'Acceleration': '(0.276123, 0.8046875, 0.5203857)', 'Roll': '-27.95097', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.79243'}
2023-01-26 22:01:36: {'Acceleration': '(0.2720947, 0.8059082, 0.5274658)', 'Roll': '-27.28707', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.6302'}
2023-01-26 22:01:37: {'Acceleration': '(0.2738037, 0.8067627, 0.5234375)', 'Roll': '-27.80145', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.51189'}
2023-01-26 22:01:38: {'Acceleration': '(0.2746582, 0.8045654, 0.5229492)', 'Roll': '-27.70891', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.57032'}
2023-01-26 22:01:39: {'Acceleration': '(0.2774658, 0.8023682, 0.5202637)', 'Roll': '-28.07179', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.68931'}
2023-01-26 22:01:40: {'Acceleration': '(0.2758789, 0.8061523, 0.5246582)', 'Roll': '-27.72611', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.58404'}
2023-01-26 22:01:41: {'Acceleration': '(0.2785645, 0.8032227, 0.5266113)', 'Roll': '-27.87774', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.71822'}
2023-01-26 22:01:42: {'Acceleration': '(0.2773438, 0.8040771, 0.5263672)', 'Roll': '-27.78482', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.50101'}
2023-01-26 22:01:42: {'Acceleration': '(0.276123, 0.8043213, 0.5202637)', 'Roll': '-27.92506', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.79295'}
2023-01-26 22:01:43: {'Acceleration': '(0.2750244, 0.8061523, 0.5245361)', 'Roll': '-27.66889', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.66306'}
2023-01-26 22:01:44: {'Acceleration': '(0.2763672, 0.8044434, 0.5241699)', 'Roll': '-27.80032', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-53.6241'}
2023-01-26 22:01:45: {'Acceleration': '(0.2772217, 0.8033447, 0.5241699)', 'Roll': '-27.87336', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.56827'}
2023-01-26 22:01:46: {'Acceleration': '(0.2768555, 0.8026123, 0.5250244)', 'Roll': '-28.00585', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.61677'}
2023-01-26 22:01:47: {'Acceleration': '(0.2780762, 0.8045654, 0.5244141)', 'Roll': '-27.93525', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.58143'}
2023-01-26 22:01:47: {'Acceleration': '(0.2780762, 0.8037109, 0.5164795)', 'Roll': '-28.29833', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.8765'}
2023-01-26 22:01:48: {'Acceleration': '(0.2735596, 0.8033447, 0.5258789)', 'Roll': '-27.88994', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.47492'}
2023-01-26 22:01:49: {'Acceleration': '(0.2764893, 0.803833, 0.5213623)', 'Roll': '-27.93793', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.57315'}
2023-01-26 22:01:50: {'Acceleration': '(0.2757568, 0.8031006, 0.5214844)', 'Roll': '-27.86953', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.51455'}
2023-01-26 22:01:51: {'Acceleration': '(0.277832, 0.8027344, 0.5268555)', 'Roll': '-27.80448', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.42483'}
2023-01-26 22:01:52: {'Acceleration': '(0.2774658, 0.8041992, 0.5220947)', 'Roll': '-27.85232', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.70702'}
2023-01-26 22:01:53: {'Acceleration': '(0.276123, 0.8018799, 0.5213623)', 'Roll': '-27.90652', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.75238'}
2023-01-26 22:01:53: {'Acceleration': '(0.2740479, 0.8026123, 0.5247803)', 'Roll': '-27.57421', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.58655'}
2023-01-26 22:01:54: {'Acceleration': '(0.2733154, 0.8032227, 0.5281982)', 'Roll': '-27.54693', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.44884'}
2023-01-26 22:01:55: {'Acceleration': '(0.2772217, 0.8034668, 0.5257568)', 'Roll': '-28.06055', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.98398'}
2023-01-26 22:01:56: {'Acceleration': '(0.2784424, 0.8044434, 0.5227051)', 'Roll': '-28.044', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.49113'}
2023-01-26 22:01:57: {'Acceleration': '(0.2817383, 0.8040771, 0.5230713)', 'Roll': '-28.30793', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.53983'}
2023-01-26 22:01:58: {'Acceleration': '(0.2811279, 0.803833, 0.5290527)', 'Roll': '-28.09855', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.27343'}
2023-01-26 22:01:59: {'Acceleration': '(0.2767334, 0.8046875, 0.5195313)', 'Roll': '-27.74374', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.49214'}
2023-01-26 22:01:59: {'Acceleration': '(0.2792969, 0.7980957, 0.5205078)', 'Roll': '-28.21736', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.90173'}
2023-01-26 22:02:00: {'Acceleration': '(0.2774658, 0.802002, 0.526001)', 'Roll': '-27.81167', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.44249'}
2023-01-26 22:02:01: {'Acceleration': '(0.2738037, 0.8048096, 0.5234375)', 'Roll': '-27.61351', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.7216'}
2023-01-26 22:02:02: {'Acceleration': '(0.2772217, 0.8028564, 0.5219727)', 'Roll': '-28.14913', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.69608'}
2023-01-26 22:02:03: {'Acceleration': '(0.2797852, 0.8032227, 0.5238037)', 'Roll': '-28.10851', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.87754'}
2023-01-26 22:02:04: {'Acceleration': '(0.27771, 0.8034668, 0.5283203)', 'Roll': '-27.72852', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.39284'}
2023-01-26 22:02:05: {'Acceleration': '(0.2696533, 0.8048096, 0.5240479)', 'Roll': '-27.22847', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.78502'}
2023-01-26 22:02:05: {'Acceleration': '(0.2757568, 0.8032227, 0.5172119)', 'Roll': '-27.93619', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.72892'}
2023-01-26 22:02:06: {'Acceleration': '(0.2770996, 0.8028564, 0.5223389)', 'Roll': '-27.94585', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.69472'}
2023-01-26 22:02:07: {'Acceleration': '(0.276123, 0.802002, 0.5206299)', 'Roll': '-27.93984', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.69108'}
2023-01-26 22:02:08: {'Acceleration': '(0.2770996, 0.8039551, 0.5219727)', 'Roll': '-27.96249', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.68143'}
2023-01-26 22:02:09: {'Acceleration': '(0.2781982, 0.8009033, 0.5239258)', 'Roll': '-28.10877', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.77349'}
2023-01-26 22:02:10: {'Acceleration': '(0.2755127, 0.8035889, 0.5256348)', 'Roll': '-27.81537', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.68239'}
2023-01-26 22:02:11: {'Acceleration': '(0.2786865, 0.8033447, 0.5213623)', 'Roll': '-28.12607', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.65106'}
2023-01-26 22:02:11: {'Acceleration': '(0.276123, 0.8040771, 0.5286865)', 'Roll': '-27.57722', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-53.43261'}
2023-01-26 22:02:12: {'Acceleration': '(0.2774658, 0.8037109, 0.5246582)', 'Roll': '-27.77832', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.60416'}
2023-01-26 22:02:13: {'Acceleration': '(0.2763672, 0.8049316, 0.5258789)', 'Roll': '-28.17785', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.54188'}
2023-01-26 22:02:14: {'Acceleration': '(0.2749023, 0.803833, 0.5236816)', 'Roll': '-27.69686', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.65482'}
2023-01-26 22:02:15: {'Acceleration': '(0.2766113, 0.8040771, 0.5281982)', 'Roll': '-27.99701', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.4656'}
2023-01-26 22:02:16: {'Acceleration': '(0.2780762, 0.8032227, 0.5253906)', 'Roll': '-27.89116', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.54476'}
2023-01-26 22:02:16: {'Acceleration': '(0.2767334, 0.8031006, 0.5231934)', 'Roll': '-27.87577', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.63533'}
2023-01-26 22:02:17: {'Acceleration': '(0.2772217, 0.8027344, 0.5240479)', 'Roll': '-27.87887', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.55245'}
2023-01-26 22:02:18: {'Acceleration': '(0.276123, 0.8027344, 0.5198975)', 'Roll': '-27.89544', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.54226'}
2023-01-26 22:02:19: {'Acceleration': '(0.2828369, 0.8024902, 0.5299072)', 'Roll': '-28.05865', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.4705'}
2023-01-26 22:02:20: {'Acceleration': '(0.2773438, 0.8026123, 0.5235596)', 'Roll': '-27.91138', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.68443'}
