Testing SD card write operations 120: 2023-01-26 21:58:17
2023-01-26 21:58:39: {'ssid':'R24', 'bssid':'7c5f17fea617f861bd3a7fac3c192229f2c5835863c281d082e1c3df4f009e12', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-26 21:58:39: {'ssid':'R25', 'bssid':'224e67ac66532d58f5c0a5bdcaf779accf9554f8026dad9cc25af24a854bb809', 'sec':0, 'channel':11, 'rssi':-92}
2023-01-26 21:58:39: {'ssid':'R212', 'bssid':'5fdde667c6472d13f62e97e4693798e95f79c0abf05c1ff14a7fb536e07bb969', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-26 21:58:39: {'ssid':'R24', 'bssid':'823c3268e695c51938a1f6721eb8bef2a11cea62a1cffee692e4610e5e9df01f', 'sec':3, 'channel':11, 'rssi':-93}
2023-01-26 21:58:43: {'ssid':'R20', 'bssid':'ff845b82015da36fde7777463c3ff5501f3585fb7c61b49fe1cb508055cac4a5', 'sec':3, 'channel':6, 'rssi':-49}
2023-01-26 21:58:43: {'ssid':'R22', 'bssid':'4b9e8739e18da5feaa252861aaf3f5cbca96e338125d011f49bad6b7e9748415', 'sec':4, 'channel':11, 'rssi':-54}
2023-01-26 21:58:43: {'ssid':'R21', 'bssid':'fcf2cc9e373bb4ff500dac5bac7b86c708c2398054080e5b7297829de4323aec', 'sec':5, 'channel':11, 'rssi':-54}
2023-01-26 21:58:43: {'ssid':'R24', 'bssid':'01103640436357319c77fcd19b4c9d8a266ced06c4e35085177832dcb67e7d6b', 'sec':3, 'channel':6, 'rssi':-85}
2023-01-26 21:58:43: {'ssid':'R23', 'bssid':'da4a8e20fb017bd6af73b51c7d1c8437fac0d672d784a9989fc585ed04b18b25', 'sec':3, 'channel':6, 'rssi':-87}
2023-01-26 21:58:43: {'ssid':'R25', 'bssid':'758713c4cba236ee7e831abe46313783e2fc1118c79b7f13519f4335bc2ae521', 'sec':0, 'channel':6, 'rssi':-87}
