Testing SD card write operations: 2023-01-26 21:58:17
2023-01-26 21:58:40: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:41: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '4c20c9f6ab4c11ee1524e89d60271967311c7112b86d2dafc5acef6475d2af58', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:42: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:43: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '4c20c9f6ab4c11ee1524e89d60271967311c7112b86d2dafc5acef6475d2af58', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:43: {'name': None, 'adv_flag': 26, 'rssi': -67, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '231ba77b59614d3e34ad6f04853873cdb57bb155c829e21f998b4107413b6f14', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:44: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:45: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 6, 'def_tx_pwr': 0, 'mac': '86c772429019ddd88e56bb72bdbe3deebcd14cf819cc313bb099ec883609e73e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:46: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:46: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '41c45c0df08e47ea405a675352cf13fbe3aa78feb4fb7ccc257c8da738cc25f6', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:47: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
